Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L373JUNE2722,L442JUNE822,L114JUNE1022,L114JULY122,L224JUNE2922,L626JUNE622,BLANK3,L239JUNE322
756.9799194,0.000232648,0.000252591,0.000321985,-0.000481316,0.000720434,-0.001133361,-0.00090925,0.000291833,-0.000777281,-0.00046637,-6.06E-06,-0.001217159,-0.000730405,-0.000481419,0.000434506,1.96E-05
755.9917603,0.000201776,0.000723235,0.000783187,0.000212654,0.001233248,-0.001108419,-0.001030539,0.000168162,-0.00071614,-0.000597244,1.52E-05,-0.001330053,-0.000991801,-0.000631676,3.08E-05,0.00010788
755.0032959,6.52E-05,0.000815915,0.000574919,4.64E-05,0.001195842,-0.001558745,-0.000638396,-0.000227375,-0.000912246,-0.000507793,3.46E-05,-0.001465982,-0.001099537,-0.000726839,-3.54E-05,-5.86E-05
754.0144043,0.000245442,0.000285176,0.000418467,-0.000312073,0.000797087,-0.001411595,-0.001391417,3.71E-05,-0.00085965,-0.000497192,-0.000291223,-0.001208331,-0.000913486,-0.000567619,-0.000111865,-2.23E-05
753.0252075,0.000102831,0.000340534,7.38E-05,-0.000278961,0.000614087,-0.001828045,-0.001339292,-0.000160722,-0.001204253,-0.000916328,-0.000585405,-0.001550491,-0.00130311,-0.001097523,-0.000124235,0.000117357
752.0356445,0.000149854,0.000203641,0.00027826,-0.000400789,0.000630237,-0.001489665,-0.000923406,-5.87E-05,-0.000558984,-0.000300743,6.43E-05,-0.001549459,-0.000769426,-0.000844201,0.00014281,0.000267148
751.0457153,0.000327944,0.000404916,0.000478248,-0.000102238,0.000641384,-0.001272707,-0.001068655,-0.000123251,-0.001027699,-0.000508362,4.85E-05,-0.00132644,-0.000826374,-0.001053574,4.64E-05,-5.02E-06
750.0554199,0.00021962,0.000684498,0.000582229,-0.000269648,0.000905477,-0.000936992,-0.000738571,0.000286523,-0.000656231,-0.000248124,0.000247592,-0.001163051,-0.000773508,-0.000587007,2.58E-05,0.000301547
749.0647583,9.20E-05,0.000620749,0.00031038,-0.000121595,0.000513519,-0.001541772,-0.001223819,-5.12E-05,-0.000846371,-0.000703942,-5.76E-05,-0.001202755,-0.00101148,-0.000478109,0.000110159,3.69E-05
747.9321899,0.000149776,0.000505744,0.000482109,-0.000400944,0.000679157,-0.0014021,-0.001180658,-0.000408392,-0.000959722,-0.000642635,-0.000215525,-0.001866039,-0.001192584,-0.001107645,8.25E-05,0.000416653
746.9407959,0.000264687,0.000871315,0.000673246,0.000109408,0.000891443,-0.001552348,-0.001272552,7.06E-05,-0.001111156,-0.00040922,-0.000192031,-0.001617549,-0.000934564,-0.001062716,-8.34E-06,0.000247048
745.9490356,6.99E-05,0.000610795,0.000421239,-0.000276736,0.000745612,-0.0015151,-0.001133929,-0.000204348,-0.000695982,-0.00042815,-0.000354079,-0.001661028,-0.000897419,-0.000707715,0.000245727,0.000500068
744.9569092,9.32E-06,0.000569476,0.000538555,-0.000339957,0.000460237,-0.001151743,-0.000893802,4.22E-06,-0.00085562,-0.000472214,-9.55E-05,-0.001300323,-0.000987668,-0.000451372,-0.000291533,0.00053109
743.9644775,0.000124503,0.000752717,0.000933571,-6.07E-05,0.000965454,-0.001207454,-0.000812577,0.000215062,-0.000988805,-0.000645892,-4.07E-05,-0.001388373,-0.001186182,-0.00086585,-0.000182872,0.000135094
742.9716797,0.000396366,0.000497762,0.00053052,-0.000157203,0.000509191,-0.001314311,-0.000986945,-3.06E-05,-0.000861355,-7.14E-05,4.08E-05,-0.001370516,-0.000773973,-0.000628936,0.000246401,0.000167696
741.9785156,0.00038639,0.000684109,0.000398931,-0.000265302,0.000646984,-0.00127823,-0.000821206,7.54E-05,-0.000820586,-0.000429391,-5.37E-05,-0.001532073,-0.00095714,-0.000588714,-0.00023881,-0.000156064
740.9850464,0.000197089,0.000731973,0.000293957,-0.000269752,0.000652687,-0.001077951,-0.000909767,-0.000279479,-0.000820173,-0.000260283,2.98E-05,-0.001094889,-0.000958999,-0.000608825,0.000239615,0.000354161
739.9911499,-2.81E-05,0.000458553,0.000394552,-0.000420081,6.71E-05,-0.000971965,-0.000736659,-0.00027953,-0.000733713,-0.00040472,5.99E-05,-0.001366233,-0.00070725,-0.000709834,-0.000317401,8.33E-05
738.9969482,1.45E-05,0.000422768,0.000365146,-0.000626092,0.000826626,-0.001559879,-0.001195114,-0.000202536,-0.001170951,-0.000403168,-0.000107828,-0.00138089,-0.001063025,-0.000920667,9.88E-05,0.000129838
738.0024414,2.17E-05,0.000974067,0.000653595,1.77E-05,0.00061445,-0.001307084,-0.000872619,-0.000132257,-0.000355631,-0.000261784,-0.000230841,-0.00139761,-0.000793095,-0.000837432,-0.000264526,0.000308722
737.0075073,0.000222081,0.00051624,2.84E-05,-0.000589541,0.00046669,-0.001425683,-0.001051715,-0.000138675,-0.00082627,-0.000524702,-0.000230428,-0.001467427,-0.000899072,-0.000878561,6.10E-05,0.000319913
736.0122681,6.54E-05,0.000697954,0.000485115,-0.000156064,0.000781786,-0.001232596,-0.00097243,0.00012541,-0.0008241,-0.000156841,1.41E-05,-0.001325872,-0.000873704,-0.000671325,3.38E-05,0.00030134
