Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L239JUNE822,L442JUNE822,L114JUNE1022,L224JUNE2922,L626JUNE622
752.0356445,0.000149854,0.000203641,0.00027826,-0.000400789,0.000630237,-0.001489665,-0.000923406,-5.87E-05,-0.000938956,-0.000300743,-0.000115798,-0.000769426,-0.000844201
751.0457153,0.000327944,0.000404916,0.000478248,-0.000102238,0.000641384,-0.001272707,-0.001068655,-0.000123251,-0.001286747,-0.000508362,-0.000305606,-0.000826374,-0.001053574
750.0554199,0.00021962,0.000684498,0.000582229,-0.000269648,0.000905477,-0.000936992,-0.000738571,0.000286523,-0.001228104,-0.000248124,-9.75E-05,-0.000773508,-0.000587007
749.0647583,9.20E-05,0.000620749,0.00031038,-0.000121595,0.000513519,-0.001541772,-0.001223819,-5.12E-05,-0.001178592,-0.000703942,-0.000350975,-0.00101148,-0.000478109
747.9321899,0.000149776,0.000505744,0.000482109,-0.000400944,0.000679157,-0.0014021,-0.001180658,-0.000408392,-0.001142397,-0.000642635,-0.000193636,-0.001192584,-0.001107645
746.9407959,0.000264687,0.000871315,0.000673246,0.000109408,0.000891443,-0.001552348,-0.001272552,7.06E-05,-0.000877217,-0.00040922,-0.000246571,-0.000934564,-0.001062716
745.9490356,6.99E-05,0.000610795,0.000421239,-0.000276736,0.000745612,-0.0015151,-0.001133929,-0.000204348,-0.00060593,-0.00042815,-9.95E-05,-0.000897419,-0.000707715
744.9569092,9.32E-06,0.000569476,0.000538555,-0.000339957,0.000460237,-0.001151743,-0.000893802,4.22E-06,-0.000377357,-0.000472214,-0.000151976,-0.000987668,-0.000451372
743.9644775,0.000124503,0.000752717,0.000933571,-6.07E-05,0.000965454,-0.001207454,-0.000812577,0.000215062,-0.000876649,-0.000645892,-0.000162947,-0.001186182,-0.00086585
742.9716797,0.000396366,0.000497762,0.00053052,-0.000157203,0.000509191,-0.001314311,-0.000986945,-3.06E-05,-0.000568394,-7.14E-05,-5.18E-05,-0.000773973,-0.000628936
741.9785156,0.00038639,0.000684109,0.000398931,-0.000265302,0.000646984,-0.00127823,-0.000821206,7.54E-05,-0.000882642,-0.000429391,-0.000289257,-0.00095714,-0.000588714
740.9850464,0.000197089,0.000731973,0.000293957,-0.000269752,0.000652687,-0.001077951,-0.000909767,-0.000279479,-0.001211067,-0.000260283,-0.000192963,-0.000958999,-0.000608825
739.9911499,-2.81E-05,0.000458553,0.000394552,-0.000420081,6.71E-05,-0.000971965,-0.000736659,-0.00027953,-0.001037305,-0.00040472,-0.000132568,-0.00070725,-0.000709834
738.9969482,1.45E-05,0.000422768,0.000365146,-0.000626092,0.000826626,-0.001559879,-0.001195114,-0.000202536,-0.001341718,-0.000403168,-0.000328524,-0.001063025,-0.000920667
738.0024414,2.17E-05,0.000974067,0.000653595,1.77E-05,0.00061445,-0.001307084,-0.000872619,-0.000132257,-0.001036376,-0.000261784,-0.000141418,-0.000793095,-0.000837432
737.0075073,0.000222081,0.00051624,2.84E-05,-0.000589541,0.00046669,-0.001425683,-0.001051715,-0.000138675,-0.001266564,-0.000524702,-0.000485039,-0.000899072,-0.000878561
736.0122681,6.54E-05,0.000697954,0.000485115,-0.000156064,0.000781786,-0.001232596,-0.00097243,0.00012541,-0.000999445,-0.000156841,-0.00030276,-0.000873704,-0.000671325
735.0166626,-6.99E-05,0.000966362,0.000614242,-5.18E-08,0.000879174,-0.001377122,-0.00096618,-7.90E-05,-0.001254794,-0.000325523,-0.000380047,-0.001132173,-0.000741827
734.020752,-1.03E-05,0.000854093,0.000753599,-0.000203002,0.000654787,-0.001206937,-0.000956933,0.000148818,-0.001033587,-0.000280048,-0.000369339,-0.001038958,-0.000553917
733.0244751,-0.00016274,0.0009619,0.00048737,-0.000205434,0.000853755,-0.001139092,-0.000837173,0.000283078,-0.000785239,-0.000318695,-0.00041765,-0.000755317,-0.000649924
732.027832,8.58E-05,0.000760989,0.000450546,-0.00021982,0.000738455,-0.001166923,-0.000885122,0.000208432,-0.000986429,-0.000296707,-0.000463784,-0.000901397,-0.000684351
731.0308228,-0.000126667,0.001004553,0.00033771,-0.000154926,0.000712863,-0.001191139,-0.000928003,5.71E-05,-0.000893441,-0.000271407,-0.000480592,-0.001125873,-0.000496623
730.0335083,-0.000192549,0.001194389,0.000708274,5.15E-05,0.000848361,-0.001280656,-0.000971913,8.91E-05,-0.001344763,-0.0004477,-0.000344768,-0.001112809,-0.001008226
729.0358276,8.73E-05,0.000943584,0.000651624,-4.21E-05,0.000832954,-0.000867245,-0.000446097,0.000651132,-0.000496468,4.79E-06,5.94E-05,-0.000612134,-0.00024
728.0378418,9.42E-05,0.001034314,0.000700003,-1.37E-05,0.000742889,-0.000773147,-0.000557019,0.000364368,-0.000706629,-0.000203054,-0.000103583,-0.000622939,-0.000394064
727.0394287,0.000263677,0.001285275,0.000664509,0.000161274,0.001118652,-0.001343318,-0.000862905,4.09E-05,-0.000822085,-0.000371564,-0.000381288,-0.000832781,-0.000705337
726.0407715,0.000101045,0.001045783,0.000774888,-0.000141056,0.001131551,-0.001067828,-0.000926247,-9.23E-05,-0.000771958,-0.000292051,-0.000325058,-0.000950579,-0.000583285
725.041687,0.000258108,0.00114689,0.000534382,-0.000337525,0.001053619,-0.001216953,-0.0008612,9.82E-05,-0.000765136,-0.000243156,-0.000167346,-0.001086317,-0.000688797
724.0422974,8.59E-05,0.001192364,0.000853159,5.22E-05,0.001362598,-0.001162173,-0.000610324,0.000256528,-0.000444907,-0.000206469,-3.89E-05,-0.000889876,-0.000759865
723.0426025,-0.000150527,0.001090676,0.000701999,-1.45E-05,0.001243243,-0.001316685,-0.000529873,0.000189138,-0.000495485,-0.000117869,-0.000284031,-0.000800639,-0.000512137
