Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_FISH901_EM_270.00,ELA_FISH901_EM_272.00,ELA_FISH901_EM_274.00,ELA_FISH901_EM_276.00,ELA_FISH901_EM_278.00,ELA_FISH901_EM_280.00,ELA_FISH901_EM_282.00,ELA_FISH901_EM_284.00,ELA_FISH901_EM_286.00,ELA_FISH901_EM_288.00,ELA_FISH901_EM_290.00,ELA_FISH901_EM_292.00,ELA_FISH901_EM_294.00,ELA_FISH901_EM_296.00,ELA_FISH901_EM_298.00,ELA_FISH901_EM_300.00,ELA_FISH901_EM_302.00,ELA_FISH901_EM_304.00,ELA_FISH901_EM_306.00,ELA_FISH901_EM_308.00,ELA_FISH901_EM_310.00,ELA_FISH901_EM_312.00,ELA_FISH901_EM_314.00,ELA_FISH901_EM_316.00,ELA_FISH901_EM_318.00,ELA_FISH901_EM_320.00,ELA_FISH901_EM_322.00,ELA_FISH901_EM_324.00,ELA_FISH901_EM_326.00,ELA_FISH901_EM_328.00,ELA_FISH901_EM_330.00,ELA_FISH901_EM_332.00,ELA_FISH901_EM_334.00,ELA_FISH901_EM_336.00,ELA_FISH901_EM_338.00,ELA_FISH901_EM_340.00,ELA_FISH901_EM_342.00,ELA_FISH901_EM_344.00,ELA_FISH901_EM_346.00,ELA_FISH901_EM_348.00,ELA_FISH901_EM_350.00,ELA_FISH901_EM_352.00,ELA_FISH901_EM_354.00,ELA_FISH901_EM_356.00,ELA_FISH901_EM_358.00,ELA_FISH901_EM_360.00,ELA_FISH901_EM_362.00,ELA_FISH901_EM_364.00,ELA_FISH901_EM_366.00,ELA_FISH901_EM_368.00,ELA_FISH901_EM_370.00,ELA_FISH901_EM_372.00,ELA_FISH901_EM_374.00,ELA_FISH901_EM_376.00,ELA_FISH901_EM_378.00,ELA_FISH901_EM_380.00,ELA_FISH901_EM_382.00,ELA_FISH901_EM_384.00,ELA_FISH901_EM_386.00,ELA_FISH901_EM_388.00,ELA_FISH901_EM_390.00,ELA_FISH901_EM_392.00,ELA_FISH901_EM_394.00,ELA_FISH901_EM_396.00,ELA_FISH901_EM_398.00,ELA_FISH901_EM_400.00,ELA_FISH901_EM_402.00,ELA_FISH901_EM_404.00,ELA_FISH901_EM_406.00,ELA_FISH901_EM_408.00,ELA_FISH901_EM_410.00,ELA_FISH901_EM_412.00,ELA_FISH901_EM_414.00,ELA_FISH901_EM_416.00,ELA_FISH901_EM_418.00,ELA_FISH901_EM_420.00,ELA_FISH901_EM_422.00,ELA_FISH901_EM_424.00,ELA_FISH901_EM_426.00,ELA_FISH901_EM_428.00,ELA_FISH901_EM_430.00,ELA_FISH901_EM_432.00,ELA_FISH901_EM_434.00,ELA_FISH901_EM_436.00,ELA_FISH901_EM_438.00,ELA_FISH901_EM_440.00,ELA_FISH901_EM_442.00,ELA_FISH901_EM_444.00,ELA_FISH901_EM_446.00,ELA_FISH901_EM_448.00,ELA_FISH901_EM_450.00,ELA_FISH901_EM_452.00,ELA_FISH901_EM_454.00,ELA_FISH901_EM_456.00,ELA_FISH901_EM_458.00,ELA_FISH901_EM_460.00,ELA_FISH901_EM_462.00,ELA_FISH901_EM_464.00,ELA_FISH901_EM_466.00,ELA_FISH901_EM_468.00,ELA_FISH901_EM_470.00,ELA_FISH901_EM_472.00,ELA_FISH901_EM_474.00,ELA_FISH901_EM_476.00,ELA_FISH901_EM_478.00,ELA_FISH901_EM_480.00,ELA_FISH901_EM_482.00,ELA_FISH901_EM_484.00,ELA_FISH901_EM_486.00,ELA_FISH901_EM_488.00,ELA_FISH901_EM_490.00,ELA_FISH901_EM_492.00,ELA_FISH901_EM_494.00,ELA_FISH901_EM_496.00,ELA_FISH901_EM_498.00,ELA_FISH901_EM_500.00,ELA_FISH901_EM_502.00,ELA_FISH901_EM_504.00,ELA_FISH901_EM_506.00,ELA_FISH901_EM_508.00,ELA_FISH901_EM_510.00,ELA_FISH901_EM_512.00,ELA_FISH901_EM_514.00,ELA_FISH901_EM_516.00,ELA_FISH901_EM_518.00,ELA_FISH901_EM_520.00,ELA_FISH901_EM_522.00,ELA_FISH901_EM_524.00,ELA_FISH901_EM_526.00,ELA_FISH901_EM_528.00,ELA_FISH901_EM_530.00,ELA_FISH901_EM_532.00,ELA_FISH901_EM_534.00,ELA_FISH901_EM_536.00,ELA_FISH901_EM_538.00,ELA_FISH901_EM_540.00,ELA_FISH901_EM_542.00,ELA_FISH901_EM_544.00,ELA_FISH901_EM_546.00,ELA_FISH901_EM_548.00,ELA_FISH901_EM_550.00,ELA_FISH901_EM_552.00,ELA_FISH901_EM_554.00,ELA_FISH901_EM_556.00,ELA_FISH901_EM_558.00,ELA_FISH901_EM_560.00,ELA_FISH901_EM_562.00,ELA_FISH901_EM_564.00,ELA_FISH901_EM_566.00,ELA_FISH901_EM_568.00,ELA_FISH901_EM_570.00,ELA_FISH901_EM_572.00,ELA_FISH901_EM_574.00,ELA_FISH901_EM_576.00,ELA_FISH901_EM_578.00,ELA_FISH901_EM_580.00,ELA_FISH901_EM_582.00,ELA_FISH901_EM_584.00,ELA_FISH901_EM_586.00,ELA_FISH901_EM_588.00,ELA_FISH901_EM_590.00,ELA_FISH901_EM_592.00,ELA_FISH901_EM_594.00,ELA_FISH901_EM_596.00,ELA_FISH901_EM_598.00,ELA_FISH901_EM_600.00
330,0.113327339,0.005652651,0.008221582,-0.028225832,0.028749183,-0.066693306,-0.049749739,0.096259788,0.127349451,0.168317512,0.119715914,0.278851688,0.160272285,0.122097179,0.28878057,0.172927067,0.360866368,0.226708636,0.31670028,0.321831882,0.489373803,0.5233531,0.599630535,0.736367345,0.774632692,1.159829617,1.84661293,7.941685677,42.08263779,105.0602112,156.1147614,137.4116821,73.24416351,19.93535805,4.977547646,2.327153921,2.10756731,2.248044729,2.260848522,2.558323622,2.802218676,3.28880167,3.411986828,3.815760136,4.629634857,4.993850708,6.144979954,8.188785553,11.61782742,15.45014,20.3856945,22.64142036,22.07606125,19.44588852,17.66654778,17.12250328,18.63131523,20.38804054,22.95979309,24.29211044,23.849226,25.53423309,27.97797394,31.11215782,31.50055313,35.01105118,35.45433426,36.7461853,39.50675201,40.71397781,41.76134109,42.2720871,43.91193771,44.23290634,45.7377243,45.34017944,45.77237701,44.35083771,44.75158691,42.91389465,43.92904663,43.37645721,41.63550186,40.84969711,39.09675598,38.38115311,38.46121597,38.10563278,36.70985031,35.49806213,34.36978531,34.6599617,33.30690002,32.08324814,32.84952545,28.82910728,28.56658554,28.20406914,27.25551987,26.59096718,26.61444664,25.97486496,25.0547142,24.15534019,23.86060143,22.97749901,21.71734238,21.88951492,20.91121292,19.17585564,19.05065155,17.94392776,18.30950165,17.1826992,16.39348412,16.42017555,15.5371685,15.4361248,13.94387817,13.52256489,13.30204487,12.65437508,12.48969173,11.73489285,11.48931122,10.5401392,11.01248455,10.2307148,9.684270859,9.48733139,8.699303627,8.503463745,8.268852234,8.035853386,7.847566605,7.45277977,6.931530476,6.47986412,6.227619648,6.050879955,5.967972279,5.687534332,5.468864918,5.075872898,4.860686302,4.547569752,4.380104542,4.219385624,4.005899906,4.068336487,3.656550884,3.236999035,3.309703827,3.388437748,2.832248688,2.696425676,2.789484739,2.411484957,2.460785627,2.263946295,2.255678415,2.211368084,2.345752478,2.08619976,1.93517828,1.655044436
335.0700073,-0.0581588,0.100574061,0.136195615,-0.137153208,-0.022979438,-0.006479904,0.077459902,0.014283791,0.02970551,0.104275241,0.07438831,0.176934466,0.095121607,0.068904981,0.209125891,0.064160705,0.109462455,0.206141695,0.156392857,0.288540602,0.349679947,0.210554436,0.402499437,0.262260199,0.441018343,0.617744744,0.60007298,0.847008765,1.181591034,2.319966316,14.68379498,60.23023224,139.3546295,171.9741669,121.9028549,42.68210983,11.01518631,3.426947117,2.302083731,2.265901327,2.44455266,2.818888426,3.02251792,3.26384449,3.631869555,4.640261173,4.828883648,5.369582653,6.137248993,7.063062668,9.090735435,11.5701189,17.2916832,21.19200134,24.7863121,25.33134842,24.37404251,21.88354874,21.34006882,23.01959991,22.17307281,23.70424271,25.76363373,28.1021328,30.19028664,32.62171555,35.04536438,35.64424896,37.51548004,39.91761017,40.40216827,40.509758,41.20730209,41.89289093,42.54343033,43.21222305,43.63328552,44.56842422,43.97885132,42.02050018,42.31742859,41.18664551,40.49188614,40.99868393,38.77605057,38.3037796,38.48669052,37.73555756,36.50055313,35.20294952,33.7552948,33.60840607,33.59800339,32.23231506,31.8649025,29.32145119,28.6831665,28.28900719,28.03058624,27.1348381,26.3937645,26.25168419,24.76581955,24.99065971,23.41220856,22.47249222,21.69529724,21.81574631,20.70195007,20.82825851,19.79096413,18.69961166,17.85848045,17.37326813,16.48781967,16.31634331,15.79831123,14.67363644,14.57757854,14.27229023,13.11949539,12.60233498,12.62078094,11.98057747,11.65766811,11.07263279,11.04782295,10.35342979,9.708842278,9.457306862,9.305818558,8.718407631,8.48916626,8.106204033,7.806324005,7.193767071,6.548762321,6.787396908,6.655031681,5.884729862,5.518227577,5.872748852,5.334303856,5.077412605,5.48921442,4.596576691,4.474512577,4.130484581,4.292161465,4.00868988,3.442650318,3.270848989,2.917284489,2.96273303,3.08390069,2.704355478,2.852400541,2.509486914,2.242799282,2.508116007,2.261680126,2.426303148,2.055788755,1.99113965,1.833077312,1.805336475
340,0.06786108,0.186190858,0.022489697,-0.045348719,0.046909794,0.040027499,0.024404883,0.082517534,0.061318502,0.044465721,-0.023663878,0.058126912,0.139946982,0.018339828,0.117137328,0.166611835,0.07180199,0.126575276,0.172166541,0.142030522,0.267091453,0.246790156,0.240794703,0.291170478,0.284928441,0.346826077,0.450576782,0.506256044,0.658547699,0.749108136,1.059988499,1.696650147,7.023834229,39.68844986,106.6860657,168.6844788,147.3049164,81.24591827,24.15294266,5.564704895,2.810143471,2.453715563,2.387103319,2.70065856,3.155921459,3.952792406,4.0489254,4.298314571,5.087768555,5.640561581,6.409658432,7.62018013,8.632129669,11.02949905,13.91793728,18.87301445,23.23561287,26.72313309,28.07113075,28.33495903,23.19385338,23.35086632,24.81714058,26.47233391,28.96712685,30.55686188,31.84402084,33.4546051,35.47044754,37.677948,38.21090317,38.98207474,40.15281677,40.90145874,41.99348831,41.82287216,41.26171875,42.10253525,41.13184738,41.63170624,41.55004501,40.40428925,39.10192871,39.65611649,38.42620468,37.37275696,36.53691101,36.32792282,34.88820648,34.94272995,34.19258499,33.00508118,32.41075897,31.6923275,30.50964928,27.72171974,27.09674072,28.14942741,27.21920967,26.72309303,26.08389854,24.61193657,24.36753273,23.4425087,22.30295372,22.31766129,20.7784996,21.30331802,19.76813126,19.95608521,18.787117,18.61889076,17.77777672,16.83974075,16.60827637,16.20339584,15.72028732,14.86410809,14.44054508,13.33535767,13.11092758,13.06873226,11.71851444,11.94652653,11.38184452,11.44620228,10.16175938,10.10282898,9.726733208,9.224999428,8.830480576,8.887924194,8.358325958,7.878053665,7.295818806,7.087313175,6.965456486,6.914094925,6.124198914,6.341257095,5.896212101,5.793822289,5.039449692,5.629834175,4.694674015,4.95838213,4.297911644,4.132613182,4.06663084,3.729732752,3.538869619,3.018384695,3.465755701,2.973190546,2.796778917,2.897143602,2.715470791,2.564654112,2.380565882,2.47927165,2.40601635,1.968942642,2.058896542,1.779067159,1.726152301,1.803585768
345.0700073,0.00218235,0.029819861,0.045646101,0.051591203,0.014045671,0.001138985,-0.021636233,-0.076984003,-0.001207292,0.038903236,0.03222245,-0.003804103,0.050311223,0.068440884,0.111631647,0.11491622,0.066034868,0.045106292,0.024254188,0.043899566,0.05292958,0.127702221,0.113154218,0.234111026,0.186842099,0.346152663,0.286044419,0.24843739,0.423410356,0.62729454,0.589790761,0.665948629,0.9362306,1.313359976,2.760911703,18.92145157,71.24597931,148.8385773,185.163147,129.8552399,47.92428589,11.7815485,3.341317177,2.603380442,2.686244726,2.800613165,3.63444519,3.54061842,4.171743393,4.197867393,5.311604023,6.054856777,6.893865108,7.939232826,9.27927494,10.91326523,13.26842403,16.56089973,20.89438438,25.95360565,27.6671505,29.06156731,29.28008842,28.25336838,28.09462547,28.85416412,30.01275063,31.80294609,33.50914001,34.62694168,35.92706299,36.95825958,37.84026337,38.69940948,39.81740189,40.07829285,38.90184402,40.17159271,39.33829117,40.0002594,38.95082474,38.76491928,37.68310928,37.18220901,36.54679108,35.29457092,35.74068451,34.41013336,33.91557312,32.17687607,32.0517807,32.20055389,31.41154861,30.50308609,29.75446892,27.21069908,26.35894394,26.58618927,26.56538582,25.50374031,25.30217361,24.65503311,24.13900185,23.58581924,22.35891533,21.51589584,20.9882164,19.94322968,20.44037819,19.49071693,17.88158035,18.0718708,17.40073395,16.68344879,16.67255783,16.17241287,15.66198254,15.05277824,13.84968472,13.60256577,13.00104618,12.27154922,12.03719044,11.90837955,11.11533737,11.07959747,10.30618477,10.1573782,9.742420197,9.470493317,9.147974014,8.820979118,7.947878838,7.606894016,7.64440918,7.252977848,6.512692451,6.311422348,6.368411541,5.931129932,5.324524403,5.545122623,5.29201889,5.255984306,5.014317513,4.392840385,4.362299919,4.24996233,4.033448219,3.672850609,3.432729006,3.27758503,3.199623108,3.168002605,2.765186787,2.732688904,2.810891628,2.636643887,2.186510324,2.354489326,2.209976912,2.069569111,1.944059134,1.804383278,1.842906475,1.678658843
350,-0.032266364,0.074884847,0.031310931,0.034972623,0.053286612,-0.096494183,-0.060730778,-0.056038469,0.070184693,-0.049128003,-0.068819635,0.031786129,0.104571804,0.028719634,0.125613376,0.070419908,-0.111196272,0.149040386,0.01051569,0.209725723,0.004390314,0.208081827,0.096758202,0.092260957,0.11688821,0.286827326,0.099961028,0.26333946,0.286762059,0.219716772,0.428095162,0.532812417,0.731052339,0.676054358,0.840384841,1.062575817,1.858227253,9.167286873,48.59481812,128.2382355,190.6157532,161.8713074,81.76386261,26.14896202,6.009076118,3.439944983,3.088392019,3.156831264,3.077800035,3.399113417,4.045758724,4.757129192,5.400477886,6.309381008,7.691823483,9.058636665,9.971917152,11.91336823,13.27170849,15.98531055,16.99874496,21.47730637,26.53241348,30.44922066,32.4738121,32.45652008,31.44340324,30.73614883,30.88011932,30.79421616,32.49850464,33.56535721,33.68210983,34.95259857,34.92483902,36.57818604,36.45885468,36.66587067,36.02548599,36.03351974,35.32859802,34.78496933,34.56699371,34.1482048,33.56300354,32.8337059,33.02993774,32.0680542,30.38796997,30.70197678,29.75361252,29.15100479,28.97298431,28.81080437,27.91191292,25.94025993,25.06869888,25.37233162,24.72449684,24.30747414,23.40148926,23.25659752,22.31920433,21.85447502,21.55315781,20.33786201,19.96253586,19.21221161,18.55369949,17.93859482,17.81996155,16.58757019,16.51453018,15.50046539,15.31864357,14.80885506,14.71789265,14.21365738,13.14280987,13.23690033,12.56956577,11.93992233,11.54286575,11.05354214,11.00969028,10.59167576,9.732096672,9.600178719,9.62201786,8.864626884,8.361557007,8.290157318,7.546943665,7.27159977,7.154668331,7.276930809,6.898710728,6.555922031,6.095527649,5.786345005,5.431155205,5.213542461,5.109053135,4.714524269,4.625067234,4.289764881,4.377685547,3.86042428,4.135400772,3.700073957,3.032161713,3.426877737,3.090898275,2.731241703,2.87127924,2.692395687,2.706557989,2.480826139,2.229863167,2.35240531,2.266358137,1.890916109,2.090490341,1.704711199,1.745663166,1.543464541
355.0700073,-0.079764366,0.073473468,-0.11596489,0.008149132,-0.093140848,-0.016247019,-0.021836266,-0.035151064,-0.122527748,0.010497093,0.017355382,0.046285212,-0.064609796,0.047472388,0.090855643,0.027646646,0.012049854,0.02927731,-0.024336964,-0.128690913,0.063675597,0.029040575,0.152799115,0.115851954,0.134077087,0.047258362,0.15987514,0.224041089,0.100484982,0.0970667,0.253298283,0.181977406,0.38241905,0.438812315,0.429734051,0.578913093,0.694604635,0.908264935,1.154105783,3.094918251,19.52282143,73.37565613,163.1027222,204.4494019,155.103302,63.0747261,16.6805439,4.664921284,3.287287474,3.341905832,3.278012991,3.567229033,4.262373924,5.00596714,5.523511887,6.880331993,7.599328041,9.568736076,10.64259052,12.83156395,12.27609348,14.3868475,16.92734146,18.79415512,22.74718094,27.08349991,30.16839218,33.22218704,33.86571121,32.27706909,31.13806725,29.48615074,30.85221481,30.27957153,31.38067245,31.07307434,31.34715652,32.28962708,32.06533051,31.77630615,31.79380035,30.87724876,30.60236549,30.28542709,29.27608109,28.68058395,29.15747833,28.2262001,27.62504768,27.01172066,26.40722275,26.6760006,26.56244469,26.5545311,24.45679665,22.73708534,23.18623543,22.20441818,21.6790638,22.34949684,21.50473595,21.38306808,20.87012863,20.0783329,19.19330597,19.30724335,18.20331955,18.45462418,17.61084175,16.77892685,16.85848808,16.26472473,15.8688879,14.94477844,14.94416428,13.86918926,13.26315117,13.38209438,13.08078575,12.45427704,12.07959557,11.137743,10.96405888,10.96913815,10.4878006,10.20461845,9.73227787,9.485871315,8.864010811,8.614985466,8.150842667,7.812018871,7.574000835,7.199231148,7.270618439,7.096651077,6.28813982,6.262720585,6.210422993,5.69984293,5.540438175,5.186306,5.173772335,4.662024498,4.612226009,4.540647984,4.251690865,4.067961693,4.102873325,3.73604846,3.276201725,3.051355839,3.06566906,2.983606815,2.88704896,2.73770833,2.642975092,2.419954062,2.23445487,2.021450281,2.053782701,1.934150934,1.86444068,1.649022102,1.586941242,1.595167637
360,0.018954411,-0.071232937,-0.050402753,0.007139474,-0.057922289,-0.069887675,-0.085205354,-0.044182368,-0.059736758,-0.030902103,-0.073736422,-0.044953004,0.008451015,-0.059644617,-0.087506674,0.000651002,-0.114585303,0.02266413,-0.029546127,-0.01511769,-0.008677065,-0.015852258,-0.025486216,0.080364034,0.041186914,0.030468971,0.072021872,0.139170393,0.139093891,0.073547512,0.134580389,0.196841761,0.263292968,0.188802049,0.24294199,0.258205414,0.417183995,0.426102757,0.535776317,0.677598834,0.932641447,1.599294305,7.463318348,39.1326561,121.2607117,206.3471375,197.336319,112.6621475,34.23144531,7.187047005,3.144823551,2.72935462,3.335124016,3.699004173,4.444713593,5.071851254,6.237819672,7.080993176,8.826091766,9.850525856,9.575821877,11.22631359,12.70431232,14.05660248,15.85073185,17.54004288,19.55916405,22.70687103,26.38006592,30.04382324,31.85377884,31.83098221,30.42592239,28.60902596,27.9955616,27.19662857,26.92213821,27.44355392,27.62108994,27.54862785,26.93053246,26.85679245,26.3170948,26.65546989,26.31461716,25.53889847,25.80278969,25.01653099,24.77668953,24.01586151,23.99402809,23.54818916,22.91481781,23.41636467,22.3326683,20.8044281,20.5915699,20.21948051,20.23907852,19.6716423,19.50788879,19.50730705,18.9723053,18.36325836,17.61376381,17.70873451,17.20476723,16.58696175,16.73318863,15.32517052,15.59163952,14.79151726,14.61501312,14.04420853,13.56263447,13.69059181,12.75138187,12.5776186,12.28832626,11.39364529,11.40276623,10.88403225,10.71850014,9.950145721,10.06977272,9.435569763,9.374839783,8.785905838,8.390269279,8.318608284,8.172036171,7.578795433,7.259428501,7.394683838,6.710418701,6.489437103,6.558138371,5.987456799,5.705610752,5.470923424,5.39023447,4.863530636,4.968124866,4.598048687,4.483931541,4.518877029,3.98843503,3.902198553,3.808204412,3.680576801,3.041555882,3.027695417,2.809360266,2.762806177,2.52666235,2.568101406,2.419052601,2.502520323,2.121481657,2.182237148,2.041868687,1.887672186,1.871309757,1.62860322,1.726754665,1.632867575
365.0700073,-0.073856927,-0.123701021,-0.12690188,-0.057311781,-0.099366426,-0.1028172,-0.007727951,-0.090685427,-0.078139387,-0.016179562,-0.038252838,-0.050925858,0.023370728,-0.064254776,-0.047794558,-0.031038977,-0.070614159,-0.042804472,-0.054156631,-0.020485446,-0.045912281,-0.020512015,-0.023263171,-0.072207518,0.015921727,0.003781438,0.016236097,0.068762198,0.011915013,0.076801747,0.124479607,0.138812825,0.138398573,0.17761375,0.15958412,0.159480616,0.179259524,0.354887903,0.338599205,0.447799981,0.554390013,0.6846416,0.874868333,1.254779577,3.06396842,21.15106583,90.76978302,196.6331482,214.344223,142.016983,50.32286835,12.69282627,3.916273832,3.235688448,3.552651167,4.040417671,4.723713875,5.316084385,6.347591877,7.208384514,7.673841476,8.416059494,9.835778236,11.19238567,11.88922787,13.14457035,14.13050652,15.33500862,16.55963707,18.16941071,21.08157921,23.53678894,27.05315208,28.39436531,28.5304451,26.6046524,24.60971069,23.33460236,22.90327644,22.13180542,22.5749321,21.75289536,21.66077232,21.98628807,21.71634293,21.11890793,21.34659386,21.00245285,20.90307426,19.99560356,20.75734711,20.51803589,19.65447235,19.89281654,19.58039093,18.00560188,17.94754219,17.93971443,18.24584389,17.34895706,17.27376366,17.0306015,16.57847023,16.17355156,15.82118034,15.55672073,15.37054729,15.20636749,14.32672024,14.27519226,13.76039886,13.57494545,12.84158611,12.7331419,12.64405918,12.48184013,11.73389721,11.45070934,10.88168621,10.92053795,10.45623207,10.42064095,9.772981644,9.430408478,8.895474434,9.050762177,8.555958748,8.756049156,7.922968864,7.820656776,7.36460495,7.164237499,6.959685326,6.811031818,6.232073784,6.240362644,5.821197987,5.772343159,5.68435812,5.199781895,4.835352898,4.666240692,4.590530396,4.203965664,3.939017057,4.059271336,3.916666269,3.71331358,3.451042652,3.347073793,3.114873886,2.914047241,2.600986004,2.627126455,2.576214314,2.509495258,2.540541172,2.230150223,2.074304819,2.021497488,2.038619757,1.948160887,1.69278419,1.629701257,1.591561794,1.340264082
370,-0.070472009,-0.122952156,-0.140554056,-0.037069634,-0.123366445,-0.094878443,-0.08921551,-0.100235045,-0.134938717,-0.077817112,-0.066847183,-0.111918896,-0.055346601,-0.12347465,-0.112440906,-0.060974434,-0.078813598,-0.118325345,-0.14089866,-0.073159352,-0.038983464,-0.066852041,-0.083846569,-0.084242366,-0.072620437,-0.003736272,0.024311572,-0.009877682,0.014147848,-0.056117043,0.087537095,0.041286767,0.039544359,0.063164249,0.029568002,0.045905188,0.058757409,0.089739889,0.217249587,0.185209975,0.289947808,0.335085809,0.441236079,0.59410882,0.931063831,1.162878275,1.965651035,9.09519577,48.22713852,147.3031464,217.5181274,187.9901123,96.12432098,26.25568962,6.150079727,3.572982311,3.629903555,3.945691347,4.652154922,4.896725178,4.957344055,5.59199667,6.267551899,7.221242428,8.224701881,9.04005909,9.234993935,10.90775871,11.49591446,11.4435606,12.78415585,13.36982632,14.98687172,16.09602165,19.09178925,21.51209068,23.54400063,23.53598213,21.82976151,19.87680626,18.13731003,17.36632538,16.66930962,16.94128227,16.85249329,16.37999535,16.39774513,16.6009903,16.45420837,16.50966072,16.62821198,16.46445274,16.00401497,16.3171978,16.45480156,14.85730171,14.59894943,15.2482605,14.9253912,14.48067856,14.52259827,14.06089592,14.24646664,14.23398018,14.05105782,13.84057808,13.29780674,13.2747097,12.79680347,12.29389668,11.67743969,11.96484184,11.72779465,10.9812088,11.51492596,10.57281017,10.3455801,10.2588625,10.0221777,10.11773872,9.353940964,9.258534431,8.971206665,8.296653748,8.312197685,8.014527321,8.04292202,7.678712368,7.12101841,6.932950974,6.514686108,6.245298862,6.375435829,6.290643692,5.963483334,5.458406448,5.600001335,5.342540741,4.879769802,4.941853046,4.693792343,4.553875446,4.200208187,3.84981513,4.204436302,3.898334265,3.417489052,3.258571863,3.362487555,3.192943811,2.896270275,2.486061096,2.71922636,2.599817753,2.392191887,2.39822793,2.072985888,2.178084373,1.89232254,2.019886971,1.682412863,1.511691928,1.464496017,1.481105924,1.585220337,1.472146749
375.0700073,-0.141079083,-0.140927702,-0.065417677,-0.141371012,-0.1250467,-0.130557403,-0.130670324,-0.043824553,-0.189860702,-0.05482915,-0.130577743,-0.157651693,-0.114405379,-0.168391019,-0.057712816,-0.082707748,-0.067171723,-0.119981021,-0.098494664,-0.152249143,-0.049389087,-0.056227632,-0.071753718,-0.146896854,-0.082708113,-0.088249482,-0.094643041,-0.042126223,0.041785091,-0.040848032,-0.017976269,0.061726689,0.038740396,0.033844858,0.064202219,0.012474492,-0.019997105,0.051498741,0.088075146,0.138453141,0.183484063,0.184926942,0.255148351,0.353233159,0.395351887,0.622327626,0.758340597,0.986113012,1.367728114,3.93001771,23.18498802,83.94454956,184.4134979,214.2512207,151.2931061,57.48767853,14.52423,3.929624319,3.372008562,3.603373766,3.375304222,3.748379469,4.141494751,4.619628906,5.115751743,5.357995987,5.995421886,6.713971615,7.746644974,7.733484268,8.073140144,8.849627495,9.818437576,9.828868866,10.64680672,11.64691067,12.91511822,14.71998119,17.31707954,18.08991051,18.63176727,18.10095596,16.06266785,15.01680183,13.70610809,13.26031303,13.20296192,13.49899292,13.55958271,12.98642826,13.35135746,13.42396832,13.52494717,13.79425049,13.5455761,12.98491573,13.08935547,12.57997704,12.34681416,12.55457306,12.72189236,12.3230257,12.60762691,12.38726997,11.94337463,12.07271576,11.45461082,11.52559566,11.40974045,11.37132168,11.05376148,10.73686695,10.37724113,10.43203068,10.11653805,10.03587532,9.903092384,9.307947159,9.056357384,8.77209568,8.870799065,8.418855667,7.8808918,7.845319271,7.912439346,7.193258286,7.459800243,7.104334831,6.772832394,6.411912918,6.237476349,5.952272415,5.837377071,5.980462551,5.610361099,5.395323753,5.198386669,5.205978394,4.940646172,4.516575813,4.392936707,4.216002941,4.090037346,3.689620972,3.846106768,3.478439569,3.360322475,3.431807041,3.073418617,2.864180803,2.820865154,2.609541178,2.430451155,2.342307568,2.238846779,2.267252922,2.045248508,1.855512142,1.724839568,1.822191596,1.690885663,1.626986027,1.562659383,1.542291164,1.477142334,1.229063988
380,-0.156938225,-0.034313485,-0.115582511,-0.110714957,-0.106106222,-0.10590221,-0.079106621,-0.147637263,-0.133982554,-0.078213461,-0.129130855,-0.183870122,-0.074598044,-0.138629615,-0.125701532,-0.14324747,-0.07538484,-0.106157064,-0.147653386,-0.115179494,-0.08387962,-0.120334782,-0.165778622,-0.13891983,-0.125289634,-0.067276359,-0.085664742,-0.057032205,-0.042719617,-0.08391045,-0.031021237,0.01575245,-0.075051159,0.014990807,0.03154555,-0.007284835,0.087976396,-0.001961544,0.048647583,0.070481166,0.046928793,0.207533553,0.070768058,0.192445502,0.22801514,0.377004504,0.382709742,0.539568722,0.624060273,0.778017163,1.123749375,1.817958951,9.219309807,57.70486832,158.3709106,234.330719,186.6359253,81.78106689,23.27314568,5.762364388,2.762172461,2.747035265,2.719655752,3.029033899,3.123277426,3.718356848,4.017138481,4.232199192,4.720423222,5.041277885,5.613265038,5.792946339,6.281905174,6.724429131,7.451011181,7.55663681,7.936907768,8.575297356,9.419735909,10.28413105,11.98689461,13.8061285,15.32330322,16.01419067,15.31733894,14.27239227,12.41692162,11.40745449,10.89817905,11.00899315,10.93669891,11.24902725,11.55093002,11.18708038,11.27671337,10.67800999,10.70046425,11.09248734,11.19088554,10.9412384,10.75837708,10.97219181,10.75926399,10.58785725,11.07374668,10.73362827,10.5310545,10.46656036,10.67751217,10.27835178,9.982606888,9.592621803,10.06841278,9.457152367,9.698457718,9.117245674,8.731426239,8.855345726,8.613648415,8.495570183,8.393010139,7.914595604,7.397450924,7.722307682,7.266532421,7.023416042,7.039185047,6.621016502,6.609116554,6.270246506,6.068604469,5.712665558,5.525929451,5.308030128,5.187692165,5.444680214,4.876621246,5.191419601,4.632659912,4.353167534,4.068983555,3.868977785,3.737915277,3.657352924,3.616514206,3.355675697,3.229306221,3.136904478,2.794571638,2.986948013,2.525963783,2.54626298,2.45727253,2.290480614,2.206577063,1.865643024,1.8202914,1.864718914,1.838403106,1.672281742,1.731172204,1.574380279,1.466605306,1.352822423,1.240624547,1.32003212
