Baseline 100%T,,BLANK,,L239_JUNE_3_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
661.0117188,0.01927787252,661.0117188,-2.34002855E-5,661.0117188,0.001042383607,
659.9923706,0.01919848286,659.9923706,-3.820600978E-5,659.9923706,0.0009688527207,
658.9727173,0.01907060854,658.9727173,0.0001136801657,658.9727173,0.001037764829,
657.9527588,0.01918790489,657.9527588,-0.0001111918828,657.9527588,0.0009667772101,
656.9324951,0.01922391541,656.9324951,-0.0001825094951,656.9324951,0.000808860932,
656.0577393,0.01920199953,656.0577393,-0.000178731716,656.0577393,0.001041008392,
655.0368652,0.01923087053,655.0368652,-0.000111347159,655.0368652,0.0009799568215,
654.0157471,0.01901792176,654.0157471,0.0002040293475,654.0157471,0.001200462691,
652.9942627,0.01908221096,652.9942627,0.0001067150733,652.9942627,0.001062104711,
651.9725342,0.01912743971,651.9725342,3.336829468E-5,651.9725342,0.001119015273,
650.9504395,0.0192138236,650.9504395,-5.068176688E-5,650.9504395,0.0009660507785,
649.9280396,0.01912440918,649.9280396,0.0002547926561,649.9280396,0.001156700309,
649.0514526,0.01942064241,649.0514526,-8.986678586E-5,649.0514526,0.0009083041223,
648.0285034,0.01922927424,648.0285034,4.584647104E-5,648.0285034,0.0009477609419,
647.005249,0.0194131434,647.005249,-0.0001207671376,647.005249,0.0009607064421,
645.9816895,0.01929251291,645.9816895,0.0002628738876,645.9816895,0.00102990272,
644.9578247,0.01935070008,644.9578247,0.0001415934385,644.9578247,0.00121917855,
643.9336548,0.01960047707,643.9336548,-0.0001751609088,643.9336548,0.0007573326584,
643.055542,0.01960337535,643.055542,-5.156178668E-5,643.055542,0.0009086413775,
642.0307617,0.01956267282,642.0307617,1.824999163E-5,642.0307617,0.001243684324,
641.0057373,0.01950161532,641.0057373,0.0002599470026,641.0057373,0.00146658381,
639.9804077,0.01971165836,639.9804077,8.574278763E-5,639.9804077,0.001025284058,
638.9547119,0.01974153705,638.9547119,8.387134585E-6,638.9547119,0.001106921467,
637.928772,0.01972956397,637.928772,8.235107089E-5,637.928772,0.0009826031746,
637.0491333,0.01980460808,637.0491333,3.010642467E-5,637.0491333,0.001430612057,
