Baseline 100%T,,BLANK,,L470_JUNE_20_22,,L377_JUNE_24_2022,,L375_EPI_JUNE_17_2022,,L222_JUNE_28_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
754.9457397,0.01752230339,754.9457397,0.0003367775644,754.9457397,0.0008159151184,754.9457397,0.0005749194534,754.9457397,4.641602209E-5,754.9457397,0.001195842284,
753.9576416,0.01774794981,753.9576416,-0.0002307379909,753.9576416,0.0002851757745,753.9576416,0.0004184670106,753.9576416,-0.0003120726324,753.9576416,0.0007970869774,
752.9692383,0.01764886081,752.9692383,-0.0003818054684,752.9692383,0.0003405339667,752.9692383,7.375538553E-5,752.9692383,-0.0002789611171,752.9692383,0.0006140866899,
751.9804688,0.0175599847,751.9804688,-0.0004287188058,751.9804688,0.0002036408841,751.9804688,0.0002782597439,751.9804688,-0.0004007886455,751.9804688,0.0006302368129,
750.991333,0.01705348864,750.991333,0.0001270928187,750.991333,0.0004049158306,750.991333,0.0004782476462,750.991333,-0.0001022375436,750.991333,0.0006413840456,
750.0018921,0.01687858067,750.0018921,-4.814763543E-6,750.0018921,0.000684498169,750.0018921,0.0005822289968,750.0018921,-0.000269648066,750.0018921,0.0009054766851,
749.0120239,0.01661113277,749.0120239,-0.0002060551924,749.0120239,0.0006207488477,749.0120239,0.0003103800991,749.0120239,-0.000121595258,749.0120239,0.0005135186948,
748.0218506,0.01650410332,748.0218506,-9.008223969E-6,748.0218506,0.0005057437811,748.0218506,0.0004821089096,748.0218506,-0.0004009438271,748.0218506,0.0006791573251,
747.031311,0.01589144766,747.031311,0.0001097962668,747.031311,0.0008713150164,747.031311,0.0006732461043,747.031311,0.0001094078834,747.031311,0.000891443342,
746.0404053,0.01594021171,746.0404053,0.0001671260834,746.0404053,0.000610794581,746.0404053,0.0004212394997,746.0404053,-0.0002767363621,746.0404053,0.0007456119638,
745.0491943,0.01570240594,745.0491943,0.0002671994735,745.0491943,0.0005694762222,745.0491943,0.0005385548575,745.0491943,-0.0003399567504,745.0491943,0.0004602374393,
744.0575562,0.01517193485,744.0575562,0.0003212601296,744.0575562,0.0007527169655,744.0575562,0.0009335706127,744.0575562,-6.067247159E-5,744.0575562,0.0009654540918,
743.0656128,0.01519590057,743.0656128,1.201125542E-5,743.0656128,0.0004977617064,743.0656128,0.0005305202794,743.0656128,-0.0001572029141,743.0656128,0.0005091906642,
741.9315186,0.01456958707,741.9315186,0.0001451150893,741.9315186,0.0006841092836,741.9315186,0.0003989306279,741.9315186,-0.0002653019037,741.9315186,0.000646983739,
740.9388428,0.01440852042,740.9388428,-0.0001753161632,740.9388428,0.0007319727447,740.9388428,0.0002939569822,740.9388428,-0.0002697515301,740.9388428,0.0006526871584,
739.9458008,0.01406001486,739.9458008,-0.0002410867455,739.9458008,0.0004585530551,739.9458008,0.0003945518984,739.9458008,-0.0004200813419,739.9458008,6.710161688E-5,
738.9523926,0.01363864634,738.9523926,-6.367481546E-5,738.9523926,0.0004227682657,738.9523926,0.0003651456209,738.9523926,-0.0006260924856,738.9523926,0.0008266262594,
737.9586182,0.01285336167,737.9586182,1.42116287E-5,737.9586182,0.0009740674286,737.9586182,0.0006535945577,737.9586182,1.773225085E-5,737.9586182,0.0006144496147,
736.9645386,0.01247173455,736.9645386,-0.0002054859651,736.9645386,0.0005162399611,736.9645386,2.839783519E-5,736.9645386,-0.0005895408685,736.9645386,0.0004666899331,
735.9700928,0.0115898829,735.9700928,0.0001254615199,735.9700928,0.0006979544414,735.9700928,0.0004851150152,735.9700928,-0.0001560643432,735.9700928,0.0007817864534,
734.9752808,0.01062102523,734.9752808,0.0001333073014,734.9752808,0.0009663621313,734.9752808,0.000614242279,734.9752808,-5.17719343E-8,734.9752808,0.0008791743312,
