Wavelength (nm),BLANK1,ELAFISH927,ELAFISH1013,ELAFISH1012,ELAFISH108,ELAFISH118,ELAFISH112,ELAFISH117,ELAFISH906,ELAFISH916,ELACTL3L224,ELACTL4L224,ELAFISH911,ELAFISH926,ELAFISH929,ELAFISH921,ELAFISH928,ELAFISH901,ELAFISH907,ELAFISH908,ELAFISH912,ELAFISH914,ELAFISH919,ELAFISH939,ELAFISH113,ELAFISH115,ELAFISH120,ELAFISH122,ELAFISH1001,ELAFISH1002,ELAFISH1005,ELAFISH1007,ELAFISH1008,BLANK2,ELAFISH109,ELAFISH930,ELAFISH903,ELAFISH1010,ELAFISH105,ELAFISH913,ELAFISH909,ELACTL2L222224,ELAFISH948,ELAFISH944,ELACTL1L239,ELACTL2L239,BLANK3,ELAFISH905,ELAFISH923,ELAFISH110,ELAFISH104,ELAFISH937,ELAFISH121,ELAPREFILTER1,ELAFISH915,BLANK4,ELAFISH946,ELAFISH1004,ELAFISH949,ELAFISH1015,ELAFISH932,ELAFISH922,ELAFISH1011,ELAFISH947,BLANK5,ELAFISH931,ELAFISH1009,ELAFISH902,ELAFISH1006,ELAFISH116,ELAFISH933,ELACTL1L222224,ELAFISH941,ELAFISH920,ELAFISH945,ELAFISH938,ELAFISH935,ELAFISH1003,ELAFISH934,ELAFISH943,ELAFISH1014,ELAFISH936,ELAFISH111,ELAFISH904,ELAFISH918,ELAFISH114,ELAFISH119,ELAFISH917,ELAFISH910,ELAFISH940,ELAFISH942
789.9431152,0.000567714,0.001386801,0.001034314,0.001100823,0.000584614,0.001228342,0.007271986,0.000687739,0.000888123,0.001943694,0.000377685,-8.05E-05,0.000490091,0.00083298,0.00138249,0.000773073,0.000307686,0.000410849,0.000831606,0.00102928,-0.000140435,0.000547186,0.000154385,0.000658106,0.000544438,0.000780464,0.001032809,0.000658131,0.000726346,0.001075521,0.000939667,0.000694688,0.0013156,-0.004221607,-0.003983696,-0.004196997,-0.002518996,-0.003395203,-0.002510039,-0.002472874,-0.003618035,-0.003641549,-0.002854724,-0.00379513,-0.003634156,-0.002969198,0.000266086,0.000920678,0.000779453,9.72E-05,0.000859565,0.001141932,0.000287222,0.000178261,0.000629304,-6.81E-05,0.005081597,0.000263159,0.000577408,-0.000756867,0.00016477,0.002117839,0.001796469,0.000553095,-0.001796596,0.00061305,-0.001057293,-0.000440201,0.000382193,0.000206645,0.000620853,-0.000607688,0.000544672,-0.00016538,6.08E-05,0.000386183,-0.000748081,0.000977155,-0.000685127,0.006108041,0.000379551,-0.000239327,-0.000874789,0.000733762,0.003282314,0.000400744,0.001014257,0.000359575,-0.00107573,-0.000410461,0.001050583
788.9672241,0.00026018,0.000434584,0.000199782,0.000863093,0.00034157,0.000308101,0.007333245,-0.000224632,9.33E-05,0.001880903,-5.50E-05,0.000235937,8.61E-05,0.000696373,0.000565018,-0.000125788,-0.000492744,-0.000164086,0.00029963,0.000788062,-0.000268924,-0.000551797,-0.000207866,0.000196545,0.000221951,0.000310432,0.000507973,0.000330457,4.62E-05,0.000422043,0.000740841,0.000259584,0.000264868,-0.004017501,-0.003802931,-0.003708131,-0.00258153,-0.00329754,-0.00213108,-0.002872365,-0.00345792,-0.003564225,-0.002579214,-0.003628252,-0.00330314,-0.002728798,0.000716467,0.001323234,0.000475267,0.000542728,0.000808264,0.001253004,0.000411912,0.000323022,0.000713822,9.99E-06,0.005138015,0.000326312,0.00034056,-0.000493986,-0.000361321,0.001897023,0.001688428,0.000694791,-0.00109804,0.001015554,-0.000589799,-0.000357855,0.0007411,0.000356156,0.00085526,-0.000455251,0.000615642,3.58E-05,0.000375276,0.000579274,-0.000297224,0.001314276,-0.000145144,0.006617141,0.001463649,-6.24E-05,-0.000147421,0.000857361,0.003753486,0.000758188,0.001291376,0.000779997,-0.000377978,-0.000375288,0.00133079
787.9909058,-0.000212938,0.000641073,-1.03E-05,7.36E-05,0.000312375,0.000732284,0.007379582,-6.34E-05,0.000152832,0.001595743,-0.000200777,-0.000405185,-9.17E-05,0.000355663,0.000488303,0.000229177,0.000124995,-0.000288688,0.000173781,0.000278881,-0.000626351,-0.000306589,-0.000298259,-0.000211592,-0.000182872,0.00021804,0.000383851,-0.000320091,-0.000115333,0.000512093,0.000574194,0.000283673,0.000681335,-0.004075306,-0.003728356,-0.003585585,-0.002273866,-0.00296128,-0.002404557,-0.002559297,-0.003516519,-0.003255046,-0.002114439,-0.00334491,-0.003577678,-0.002419436,0.000697125,0.000573442,0.000711644,0.000330223,0.000290486,0.001207186,0.00033341,0.00012629,0.00053446,0.000130252,0.005106374,0.000663991,0.000220656,-0.000574651,-0.000201139,0.002047637,0.001920943,0.001116472,-0.00054218,0.000961122,-0.000725857,-0.000227271,0.000590524,0.000355897,0.000738377,-0.000129669,0.000762,0.000363254,0.00049035,0.000357425,-0.000119111,0.001618815,5.43E-05,0.006517644,0.001386541,9.23E-05,-0.000146179,0.000860343,0.003912973,0.000869422,0.001136897,0.00060885,-0.000240466,-0.00041434,0.001290311
787.0142822,0.000718334,0.000883117,0.000538218,0.000399423,0.000329887,0.000382297,0.007014571,0.000179893,0.000248628,0.001208354,-0.000299242,-2.58E-05,0.000420307,0.000623937,0.000779634,-0.000100219,-0.000121595,0.000186186,0.000172512,0.000565847,-0.00053794,1.29E-05,-0.000213558,7.37E-05,-0.000273994,0.000670109,0.000268469,-0.000579769,0.000129838,0.000792886,0.000285124,0.000180722,0.000616212,-0.004327931,-0.003623631,-0.003861997,-0.002482191,-0.00341051,-0.002450429,-0.002760386,-0.003278889,-0.0037552,-0.002221537,-0.003423609,-0.003682414,-0.002669835,0.000629744,0.001174117,0.000550814,0.000407351,0.000626608,0.001091558,0.000709622,3.73E-05,0.000885789,-0.000263077,0.005085054,0.000404139,0.000668554,-0.000644755,-0.000647495,0.002448089,0.002001864,0.000546253,-0.001043141,0.000812621,-0.000927694,-0.000315435,0.00033455,0.00027984,0.000717997,-0.000577753,0.000246245,-0.000102548,-8.02E-06,0.000150346,-0.000578011,0.001111567,-0.000294327,0.006586207,0.00061432,-0.000462491,-0.000364942,0.000995186,0.003664406,0.000752535,0.000988804,0.000398335,-0.000627798,-0.000470404,0.00117666
786.0372925,0.000183985,0.000819001,0.000286238,0.000389681,7.19E-05,0.000374835,0.007801192,0.000327892,0.000305873,0.001341384,-0.000534268,-0.000274098,-0.000225719,-2.00E-05,0.000783394,-0.000143592,-0.000262042,-3.35E-05,-6.30E-05,0.000938655,-0.000329972,-0.000419047,-0.000469318,0.00038437,-0.00042334,0.000403335,0.000116736,-0.00033706,-0.000138985,0.000903324,0.000328384,2.80E-06,0.00037569,-0.004670818,-0.004122951,-0.004098386,-0.002817742,-0.00375443,-0.002825715,-0.002883988,-0.004275798,-0.003698224,-0.003021128,-0.004117514,-0.003989646,-0.003085596,0.000899173,0.000776263,0.000323384,0.000489832,0.000719786,0.001010391,0.00079605,9.09E-05,0.000569036,0.000104695,0.005479432,0.000649421,0.000693547,-0.000208953,0.000150605,0.00303515,0.002200176,0.000903012,-0.001011067,0.000972018,-0.000597606,-0.000174333,0.000896553,0.000108502,0.001031797,6.30E-05,0.000822554,5.16E-05,0.000445545,0.000554236,-0.000502208,0.001381581,-0.00018401,0.007006205,0.000878993,0.000208199,-0.000171435,0.000808653,0.003622952,0.001038958,0.001445546,0.001292492,1.75E-05,-8.70E-05,0.001528821
785.0598755,5.41E-05,0.000519661,0.000227079,0.000265594,0.000127455,0.000283466,0.006939364,-0.000395771,-0.000259352,0.001154338,-0.000367167,-0.000446459,3.78E-05,0.000383126,0.000542157,6.00E-05,-0.000353614,-0.000196948,7.48E-05,0.000738248,-0.000667603,-0.000500346,-0.000457423,-0.000138468,7.91E-05,0.000167799,0.000138875,-0.000295362,0.000106223,0.000458061,0.000268339,0.000308567,0.000271706,-0.003826384,-0.004084538,-0.003674919,-0.002456555,-0.002904251,-0.002119746,-0.002476889,-0.00365423,-0.00327262,-0.002560738,-0.003426948,-0.003493923,-0.002547305,0.000228063,0.000704644,0.0009681,0.000352814,0.000545812,0.00087531,0.000531324,0.000169793,0.000511264,-0.000549625,0.005040008,0.000233917,0.000640425,-0.000854431,-0.000360649,0.001885687,0.001676241,0.000889628,-0.001013805,0.001372726,-0.000239172,-9.97E-05,0.00087326,0.000647684,0.000967114,-0.000293758,0.000957567,0.000687324,0.000785443,0.000737885,0.000270541,0.001242153,0.000276576,0.006912509,0.00121069,1.12E-05,0.000151226,0.001122285,0.00407751,0.000942261,0.001750775,0.000789333,0.000514892,0.000278053,0.00143804
783.9424438,-8.48E-05,0.000481331,-0.000240052,0.000675294,0.000139418,0.000350068,0.006776107,-0.000104981,0.000290978,0.000886956,-0.000118749,-0.00076648,-2.30E-05,0.000347011,0.000336985,-0.000706319,-0.000299656,-0.000506035,-0.000398409,0.000460237,-0.000372081,-0.001024083,-0.000520927,0.000141257,-0.000738416,0.000178702,0.000332296,-0.000522685,-0.00016274,0.000779738,0.000172409,0.000383566,0.000303231,-0.004549721,-0.004095668,-0.00361439,-0.002674158,-0.003713624,-0.002674672,-0.002807455,-0.003554982,-0.0039425,-0.002998404,-0.003682157,-0.004271799,-0.003265323,0.000297065,0.000847219,0.000526348,0.000352555,0.000475164,0.000573675,0.000412197,-0.000333076,0.000294708,-0.0004929,0.004941918,-2.23E-06,0.00021659,-0.000576512,-0.000625886,0.00232284,0.001791946,0.000102003,-0.000728234,0.000734955,-0.000665277,-8.01E-05,0.00090252,0.000322711,0.000849009,0.000115648,0.00083573,0.000582203,0.000789333,0.000633814,4.04E-05,0.0016032,1.57E-05,0.00726359,0.001483571,0.000477444,7.96E-05,0.001126645,0.004176397,0.001436689,0.001451338,0.000746779,-1.03E-05,3.62E-05,0.001604369
782.9642944,0.000120801,0.001009353,5.70E-05,0.000409372,8.68E-05,0.000471562,0.007302522,-8.59E-05,0.000295304,0.00099254,-5.88E-05,-0.000436425,0.000218947,0.000421188,0.000577019,-3.94E-05,-0.000175368,-0.000103273,0.000196079,0.000612609,-0.000404668,-0.000488297,-0.000307572,0.000239693,-0.000449872,0.000284217,0.000286704,-0.000200777,-4.51E-05,0.000781709,0.000864779,0.000329835,0.000697877,-0.003953941,-0.00417141,-0.00389145,-0.002484405,-0.003495001,-0.002401931,-0.002701685,-0.003652381,-0.003845166,-0.003049251,-0.00398626,-0.003785533,-0.003000512,0.000501208,0.000764879,2.89E-05,0.000387867,0.000324576,0.00115016,0.000264014,0.000154385,0.000547056,0.000108113,0.005228237,0.000409917,0.00108655,-0.000341198,-0.000148198,0.002485603,0.002188989,0.000767809,-0.001195992,0.000928408,-0.000693914,-0.000580441,0.00062837,-1.85E-05,0.001027282,-0.00039034,0.000806475,0.000400045,0.00044469,0.000610483,-0.000206055,0.001166927,-0.000415116,0.006971166,0.001284054,-9.63E-05,-0.000119784,0.000628422,0.003847677,0.000561571,0.001387476,0.000347451,-0.000349113,-2.03E-05,0.000998897
781.9857178,0.000238087,0.000894037,0.000520283,0.000725153,0.000263366,0.000540836,0.007350726,0.000192013,0.000211177,0.00093191,-0.00024978,-3.88E-05,0.000147135,0.000636044,0.000669979,0.000215632,-0.000193066,0.000377504,0.000381623,0.000659143,-0.000473352,-0.000476817,-0.000136398,4.46E-05,9.19E-05,7.23E-05,0.000125669,-9.79E-05,0.000264298,0.000550037,0.000337684,0.000343746,0.00080051,-0.004578001,-0.004256214,-0.003812374,-0.002537886,-0.004035659,-0.002790274,-0.002471535,-0.003722402,-0.004219762,-0.00297398,-0.004276413,-0.003811861,-0.003438761,0.000341415,0.00119252,0.000143018,0.000712837,0.000751187,0.000535782,0.000185487,0.000297169,-1.36E-05,0.000124685,0.004981874,0.000353306,0.000289709,-0.000637156,-0.000138675,0.002088706,0.002125564,0.000477341,-0.001295729,0.000903479,-0.000691485,-0.000416202,0.000569735,0.000418389,0.000906021,-0.000342233,0.000624145,0.000667516,0.000356156,0.000219128,0.000193877,0.001307941,-0.00045313,0.006816494,0.001044434,0.000196364,-0.000389616,0.000807227,0.004003751,0.000900289,0.001357249,0.000260258,-0.000216456,-6.07E-05,0.001310745
781.0068359,0.000235678,0.001113098,0.000155421,0.00057098,6.32E-05,0.000699121,0.007009309,-0.000383771,0.000395355,0.000964235,-2.08E-05,-0.000426702,0.000174351,0.000297843,0.000884725,0.000196105,-0.000298777,-0.000101099,0.00021602,0.000461326,-0.000651889,-0.000101772,-0.000433115,-0.00030752,-0.000155029,0.000110392,0.000369809,-0.000269441,-0.000278754,0.000552914,0.000678898,-2.15E-05,0.000817886,-0.004273747,-0.003901558,-0.00364119,-0.002692887,-0.00348247,-0.002525687,-0.002532224,-0.003630306,-0.003681079,-0.003407891,-0.003716242,-0.003729536,-0.002819697,0.000163009,0.000567273,0.000288802,0.000253808,0.000570876,0.000413492,0.000250519,-0.000367425,-7.04E-05,-0.000498433,0.004789879,5.09E-05,0.00034157,-0.000882436,-0.000224943,0.002104911,0.00234798,0.000331026,-0.000931723,0.00103613,-0.000525685,-0.000460164,0.000295485,4.11E-05,0.000913933,-0.000356614,0.000897254,8.06E-05,0.000577175,0.000389059,-0.000341974,0.00129714,-0.000127289,0.007053534,0.001104949,-0.000254902,-0.000588145,0.001419938,0.004297712,0.000917565,0.001175544,0.000935957,-0.000354907,-0.000242432,0.001332477
