ID,Site name,Species code,Sampling method,Incub. Container,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Wet mass (g),Dry mass (g),Comments,SRP (ug/L),P excretion (ug),P excretion rate (ug/h/ind),NH4 (ug/L),N excretion (ug),N excretion rate (ug/h/ind),Ambient historical DOC (mg C/L),Ambient DOC (mg C/L),DOC (mg C/L),C excretion (mg),C excretion (mg/h/ind),RamanArea,A254,SUVA,SUVA.excretion,A280,A350,A440,S275to295,S350to400,SR,SR.excretion,BA,BA.excretion,FI,FI.excretion,HIX,HIX.ohno,HIX.ohno.excretion,PeakA,PeakB,PeakC,PeakD,PeakE,PeakM,PeakN,PeakP,PeakT,Ambient.RamanArea,Ambient.A254,Ambient.SUVA,Ambient.A280,Ambient.A350,Ambient.A440,Ambient.S275to295,Ambient.S350to400,Ambient.SR,Ambient.BA,Ambient.FI,Ambient.HIX,Ambient.HIX.ohno,Ambient.PeakA,Ambient.PeakB,Ambient.PeakC,Ambient.PeakD,Ambient.PeakE,Ambient.PeakM,Ambient.PeakN,Ambient.PeakP,Ambient.PeakT
121,L239,YP,SN,1L WP,0.3,11.06,11.39,33,4.41,1.1025,,54.3419359,15.62057758,28.40105014,321.7589725,94.88773228,172.5231496,7.55,7.156,5.068,0.0018,0.003272727,131.1292696,10.9608394,2.162754421,0.106766394,7.460509649,2.003129992,0.359099591,0.020921434,0.020860379,1.002926864,-0.099225779,0.606930638,0.083898846,1.297988621,1.297988621,2.39486528,0.705437501,-0.130106421,0.684141974,0.324146726,0.397578882,0.163992151,0.037357707,0.444826005,0.389683175,NA,0.567212712,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
122,L239,YP,SN,1L WP,0.3,11.07,11.43,36,1.86,0.465,dead after experiment,12.71778129,3.133331196,5.222218659,144.1366165,41.60102548,69.33504247,7.55,7.156,5.262,0.06,0.1,134.811508,11.12463751,2.114146239,0.058158212,7.666966778,2.126133682,0.415241257,0.020690495,0.02014154,1.027254854,-0.074897789,0.514124108,-0.008907684,1.248688858,1.248688858,3.784251005,0.790980866,-0.044563056,0.672499699,0.359544938,0.400713338,0.164585408,0.042878555,0.418031068,0.246304858,NA,0.249035362,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
201,L373,PD,TN,1L WP,0.3,9.31,10.07,36,2.12,0.53,,77.62804359,22.55398859,37.58998099,100.3758128,28.01148469,46.68580782,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
202,L373,PD,TN,1L WP,0.3,9.32,10.1,38,2.77,0.6925,,114.5705781,33.63674895,53.11065623,88.46306543,24.43766048,38.58577971,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
203,L373,PD,TN,1L WP,0.3,9.33,10.12,39,0.98,0.245,dead after experiment,39.00976525,10.96850509,16.87462322,43.79026276,11.03581968,16.97818412,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
204,L373,PD,TN,1L WP,0.3,9.34,10.13,39,3.15,0.7875,,117.4650447,34.50508893,53.08475221,122.7122141,34.71240509,53.40370014,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
205,L373,PD,TN,1L WP,0.3,9.35,10.14,39,2.25,0.5625,,89.05356973,25.98164644,39.97176375,118.2449339,33.37222101,51.34187848,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
206,L373,PD,TN,1L WP,0.4,9.36,10.15,39,2.73,0.6825,,97.81313977,38.14602326,58.68618963,298.425238,116.5684163,179.3360251,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
207,L373,PD,TN,1L WP,0.4,9.38,10.17,39,8.14,2.035,,120.2833412,47.13410382,72.51400588,295.4470511,115.3771416,177.5032947,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
208,L373,PD,TN,1L WP,0.4,9.39,10.19,40,6.43,1.6075,,104.1352642,40.67487305,61.01230957,66.12666409,23.64898677,35.47348016,4.23,3.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7510021,7.496449746,1.895436092,5.073087224,1.32837488,0.311563698,0.02229041,0.018742036,1.189327059,0.650169051,1.206722797,2.795939691,0.73656062,0.411717475,0.12658693,0.217029477,0.091259024,0.025791198,0.237420592,0.200607303,NA,0.271107535
