Baseline 100%T,,BLANK,,ELA_109,,ELA_930,,ELA_903,,ELA_1010,,ELA_105,,ELA_913,,ELA_909,,ELA_CTL2_L222_224,,ELA_948,,ELA_944,,ELA_CTL1_L239,,ELA_CTL2_L239,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
773.017334,0.026086092,773.017334,-0.004104539752,773.017334,-0.003786507994,773.017334,-0.003841881407,773.017334,-0.002769954735,773.017334,-0.003423711751,773.017334,-0.002684860025,773.017334,-0.002438227879,773.017334,-0.003599294461,773.017334,-0.003809345886,773.017334,-0.002777773887,773.017334,-0.00354614947,773.017334,-0.004038736224,773.017334,-0.002816096414,
772.0340576,0.0258958023,772.0340576,-0.003919156268,772.0340576,-0.004186844453,772.0340576,-0.003563916543,772.0340576,-0.002192331245,772.0340576,-0.00308292266,772.0340576,-0.0022659346,772.0340576,-0.002654141514,772.0340576,-0.00353947375,772.0340576,-0.003308689222,772.0340576,-0.002599233994,772.0340576,-0.003207152477,772.0340576,-0.003241737373,772.0340576,-0.002793771913,
771.0504761,0.02585986443,771.0504761,-0.003586252686,771.0504761,-0.003640162991,771.0504761,-0.003897042712,771.0504761,-0.002516061766,771.0504761,-0.003021128476,771.0504761,-0.0023012124,771.0504761,-0.002383447485,771.0504761,-0.00345951179,771.0504761,-0.003434652463,771.0504761,-0.002628412563,771.0504761,-0.003552568378,771.0504761,-0.003582555801,771.0504761,-0.002351883799,
770.0664673,0.02616988309,770.0664673,-0.004043044988,770.0664673,-0.003840649966,770.0664673,-0.003725943156,770.0664673,-0.002342975466,770.0664673,-0.003465058748,770.0664673,-0.002413206734,770.0664673,-0.002833327511,770.0664673,-0.003840085352,770.0664673,-0.003942551557,770.0664673,-0.002732451307,770.0664673,-0.003846551292,770.0664673,-0.003866820363,770.0664673,-0.002864444861,
768.9414063,0.02590547502,768.9414063,-0.003925518598,768.9414063,-0.003845832776,768.9414063,-0.003887191182,768.9414063,-0.00260175555,768.9414063,-0.003129442222,768.9414063,-0.002348691225,768.9414063,-0.00259573455,768.9414063,-0.003722504247,768.9414063,-0.003427410033,768.9414063,-0.002539944602,768.9414063,-0.003891295986,768.9414063,-0.003583120648,768.9414063,-0.002718148753,
767.956665,0.02569334768,767.956665,-0.004022835288,767.956665,-0.004209353589,767.956665,-0.003596111201,767.956665,-0.002713929862,767.956665,-0.003602991346,767.956665,-0.002836156404,767.956665,-0.002629184397,767.956665,-0.003939216956,767.956665,-0.003407942131,767.956665,-0.002457430121,767.956665,-0.003758023027,767.956665,-0.003712597303,767.956665,-0.003017118433,
766.9714966,0.02574215457,766.9714966,-0.004256368149,766.9714966,-0.004138848279,766.9714966,-0.004211353138,766.9714966,-0.002721853089,766.9714966,-0.003512205323,766.9714966,-0.002713929862,766.9714966,-0.002776076319,766.9714966,-0.004037197679,766.9714966,-0.003787893802,766.9714966,-0.002752360888,766.9714966,-0.003779835999,766.9714966,-0.003472608747,766.9714966,-0.002833636245,
765.9859619,0.02575734444,765.9859619,-0.004261392169,765.9859619,-0.004108129535,765.9859619,-0.003723890055,765.9859619,-0.002407800872,765.9859619,-0.003417085391,765.9859619,-0.002489192178,765.9859619,-0.002597072395,765.9859619,-0.003694887739,765.9859619,-0.003613157198,765.9859619,-0.00313992775,765.9859619,-0.003854094539,765.9859619,-0.003719680943,765.9859619,-0.00313643273,
765.0001221,0.02566352487,765.0001221,-0.004375957418,765.0001221,-0.004243089817,765.0001221,-0.003946040291,765.0001221,-0.002712849295,765.0001221,-0.003752685152,765.0001221,-0.002569796052,765.0001221,-0.002818359528,765.0001221,-0.003683748189,765.0001221,-0.003656745423,765.0001221,-0.003012696747,765.0001221,-0.003948246595,765.0001221,-0.003735952312,765.0001221,-0.002874936676,
764.013916,0.02590143494,764.013916,-0.004585889634,764.013916,-0.004531072453,764.013916,-0.004288613796,764.013916,-0.002775459085,764.013916,-0.003799646394,764.013916,-0.002793874824,764.013916,-0.002967964159,764.013916,-0.003969485406,764.013916,-0.003937318921,764.013916,-0.002985086525,764.013916,-0.004377187695,764.013916,-0.003776859259,764.013916,-0.003013365204,
763.0272827,0.02540043741,763.0272827,-0.004223043099,763.0272827,-0.003979797009,763.0272827,-0.003760743421,763.0272827,-0.002714084229,763.0272827,-0.003428694094,763.0272827,-0.002355745761,763.0272827,-0.002580809873,763.0272827,-0.003654640401,763.0272827,-0.003621166805,763.0272827,-0.002787084784,763.0272827,-0.003754584352,763.0272827,-0.003559089731,763.0272827,-0.002687484026,
762.0403442,0.02577302791,762.0403442,-0.004146129824,762.0403442,-0.004316397477,762.0403442,-0.004191048909,762.0403442,-0.002823811956,762.0403442,-0.003593903268,762.0403442,-0.002882085508,762.0403442,-0.002828852739,762.0403442,-0.004043455236,762.0403442,-0.003733283374,762.0403442,-0.003319581505,762.0403442,-0.004113975912,762.0403442,-0.003975539003,762.0403442,-0.003073772416,
761.0530396,0.02591509186,761.0530396,-0.004406041931,761.0530396,-0.004420032725,761.0530396,-0.004388155416,761.0530396,-0.002915667603,761.0530396,-0.003803238738,761.0530396,-0.002795778215,761.0530396,-0.003348403377,761.0530396,-0.004286255687,761.0530396,-0.004052739125,761.0530396,-0.003029663116,761.0530396,-0.004318038002,761.0530396,-0.004123207182,761.0530396,-0.003233720781,
760.0653687,0.02550875023,760.0653687,-0.004594649654,760.0653687,-0.004462873563,760.0653687,-0.003818326863,760.0653687,-0.00314116152,760.0653687,-0.003754738253,760.0653687,-0.003009560518,760.0653687,-0.003238397185,760.0653687,-0.003860252211,760.0653687,-0.004139668774,760.0653687,-0.003331963439,760.0653687,-0.004402146675,760.0653687,-0.003630100284,760.0653687,-0.003224059707,
758.9361572,0.02516908199,758.9361572,-0.003926955163,758.9361572,-0.00427174801,758.9361572,-0.003797542304,758.9361572,-0.002554510254,758.9361572,-0.003592825029,758.9361572,-0.002694172785,758.9361572,-0.00294688181,758.9361572,-0.003510664683,758.9361572,-0.003865999402,758.9361572,-0.002550495788,758.9361572,-0.003663470503,758.9361572,-0.003486783709,758.9361572,-0.003160743974,
757.9476929,0.0250813961,757.9476929,-0.003841111669,757.9476929,-0.00386358751,757.9476929,-0.00440952694,757.9476929,-0.002839242574,757.9476929,-0.003452372504,757.9476929,-0.002632374875,757.9476929,-0.00280982093,757.9476929,-0.003478874685,757.9476929,-0.004156847484,757.9476929,-0.002852975391,757.9476929,-0.004011704121,757.9476929,-0.003764490131,757.9476929,-0.003043132834,
756.9589233,0.0251745414,756.9589233,-0.004489416722,756.9589233,-0.004662469029,756.9589233,-0.00464525912,756.9589233,-0.003243741347,756.9589233,-0.004234117456,756.9589233,-0.00296256505,756.9589233,-0.00332764769,756.9589233,-0.003962816205,756.9589233,-0.004198227078,756.9589233,-0.003498442005,756.9589233,-0.004305017646,756.9589233,-0.003760846099,756.9589233,-0.003317475086,
755.9697876,0.02472098917,755.9697876,-0.004422697704,755.9697876,-0.004444938153,755.9697876,-0.004501662683,755.9697876,-0.002950738417,755.9697876,-0.00356771634,755.9697876,-0.002909599338,755.9697876,-0.003146558302,755.9697876,-0.004122848157,755.9697876,-0.003932034131,755.9697876,-0.003076805267,755.9697876,-0.004213865381,755.9697876,-0.003933778498,755.9697876,-0.003543273779,
