BLANK,,ELA_905,,ELA_923,,ELA_110,,ELA_104,,ELA_937,,ELA_121,,ELA_PRE-FILTER_1,,ELA_915,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
769.9567261,0.0002791663283,769.9567261,0.0004162127734,769.9567261,0.0003754311183,769.9567261,-0.0001907894475,769.9567261,0.0001718391577,769.9567261,0.0005214232951,769.9567261,0.0003586946405,769.9567261,-6.414069503E-5,769.9567261,0.0001508637361,
768.97229,0.0005844063708,768.97229,0.0005763191148,768.97229,0.0001989533484,768.97229,-4.659471813E-7,768.97229,0.0005647588405,768.97229,0.0004562467802,768.97229,0.0001042553049,768.97229,-0.0002277885505,768.97229,5.542539657E-5,
767.9875488,0.0005050181062,767.9875488,0.0007356288261,767.9875488,0.0004132071335,767.9875488,-0.0001439538901,767.9875488,0.0004308008065,767.9875488,0.0007725026808,767.9875488,0.0001962340757,767.9875488,-0.0002017601364,767.9875488,0.0001087605706,
767.0023804,0.0005336563336,767.0023804,0.0009887519991,767.0023804,0.0007760812878,767.0023804,0.0002285814699,767.0023804,0.0007648268365,767.0023804,0.0009666215628,767.0023804,0.0002972985385,767.0023804,0.0001831300615,767.0023804,0.000609990966,
766.0168457,-7.402755728E-5,766.0168457,0.0004800616589,766.0168457,-0.0001326712081,766.0168457,-0.0005109988851,766.0168457,0.0001411791309,766.0168457,0.0004582680122,766.0168457,-6.838534318E-5,766.0168457,-9.618160402E-5,766.0168457,-3.359868788E-5,
765.0310059,0.0002719136537,765.0310059,0.000437796989,765.0310059,0.0001419041801,765.0310059,-0.000234825784,765.0310059,9.959474119E-5,765.0310059,0.0001051874278,765.0310059,-9.302420949E-5,765.0310059,-0.0004519408685,765.0310059,6.943172048E-5,
764.0447998,0.000176034373,764.0447998,0.0003268038563,764.0447998,1.812021537E-6,764.0447998,-0.0005706693628,764.0447998,-0.0001422977366,764.0447998,0.0001135506973,764.0447998,-0.0001673981751,764.0447998,-0.0002367403067,764.0447998,2.925124363E-6,
763.0581665,0.000213404579,763.0581665,0.000318876846,763.0581665,0.0002922732383,763.0581665,5.85026828E-6,763.0581665,4.900490239E-5,763.0581665,9.540026804E-5,763.0581665,3.681140879E-5,763.0581665,0.0001430176344,763.0581665,-0.0004048748524,
761.9302368,0.000117279269,761.9302368,0.0003512851836,761.9302368,0.0002496383677,761.9302368,-0.0001005812228,761.9302368,-0.000125891107,761.9302368,0.0004358276783,761.9302368,9.576275625E-5,761.9302368,-0.000334266253,761.9302368,-0.0003067439247,
760.9428711,0.0006790276966,760.9428711,0.0003125042713,760.9428711,4.882368012E-5,760.9428711,-0.0004591813195,760.9428711,1.726628398E-5,760.9428711,0.0005031003384,760.9428711,0.0006110796821,760.9428711,-0.0005108437617,760.9428711,-0.0001422977366,
759.9551392,0.0003631766303,759.9551392,0.0001575187925,759.9551392,8.395630721E-5,759.9551392,-0.0003841848811,759.9551392,0.0002197497961,759.9551392,0.0005114453379,759.9551392,-1.28392503E-5,759.9551392,-0.0005949695478,759.9551392,-0.000277615909,
