BLANK,,ELA_946,,ELA_1004,,ELA_949,,ELA_1015,,ELA_932,,ELA_922,,ELA_1011,,ELA_947,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
769.9567261,-5.901599798E-5,769.9567261,0.005068842322,769.9567261,0.0002735455055,769.9567261,0.0002797879861,769.9567261,-0.0007362972246,769.9567261,-6.305363786E-5,769.9567261,0.002042070962,769.9567261,0.002391654765,769.9567261,0.0001285687467,
768.97229,-0.0002865148999,768.97229,0.004777342081,768.97229,0.0003195244644,768.97229,0.000205505552,768.97229,-0.0005730994162,768.97229,-0.0001486117981,768.97229,0.002035022713,768.97229,0.002536842134,768.97229,0.0002679765457,
767.9875488,-0.0002266501542,767.9875488,0.005126175936,767.9875488,-3.566939995E-5,767.9875488,0.0001850205299,767.9875488,-0.0006967569934,767.9875488,-0.0003975817526,767.9875488,0.001740379259,767.9875488,0.002548793564,767.9875488,0.0003691354359,
767.0023804,-0.0001190591356,767.0023804,0.005429757759,767.0023804,0.0003651715233,767.0023804,0.0006771091139,767.0023804,-0.0006297112559,767.0023804,1.566129322E-5,767.0023804,0.002335540019,767.0023804,0.002835439984,767.0023804,0.0004814092244,
766.0168457,0.0001696379913,766.0168457,0.005740450695,766.0168457,0.0002437329968,766.0168457,0.0005676618312,766.0168457,-0.0007908206899,766.0168457,0.0001347314828,766.0168457,0.002102725673,766.0168457,0.002777287969,766.0168457,0.0006024476024,
765.0310059,8.131544018E-5,765.0310059,0.005390992388,765.0310059,0.0003577878815,765.0310059,0.0008443663246,765.0310059,-0.0005601733574,765.0310059,-0.0002288234391,765.0310059,0.002127905609,765.0310059,0.002973660594,765.0310059,0.0005956561654,
764.0447998,-0.0002237524313,764.0447998,0.005183936097,764.0447998,0.0002879473905,764.0447998,0.0003347568854,764.0447998,-0.0009190659039,764.0447998,-0.000201346149,764.0447998,0.001778534031,764.0447998,0.002728417283,764.0447998,0.0001751538948,
763.0581665,0.0002368953283,763.0581665,0.004971741233,763.0581665,-0.0001003224243,763.0581665,0.0002875070495,763.0581665,-0.0008928205934,763.0581665,-0.0003250578593,763.0581665,0.00172995741,763.0581665,0.002517965389,763.0581665,0.0002055573423,
761.9302368,0.0002657489968,761.9302368,0.005429757759,761.9302368,0.0003639538481,761.9302368,0.0006050657248,761.9302368,-0.0005439376109,761.9302368,-0.0001549775188,761.9302368,0.002267384436,761.9302368,0.002755248686,761.9302368,0.0004772887914,
760.9428711,-8.971150237E-5,760.9428711,0.005008426495,760.9428711,0.00020573863,760.9428711,0.0003774260695,760.9428711,-0.0008300939808,760.9428711,-0.0003463714093,760.9428711,0.001792622032,760.9428711,0.002911476884,760.9428711,0.000441295153,
759.9551392,0.0002984383027,759.9551392,0.005507429596,759.9551392,0.0004930709838,759.9551392,0.0009706687415,759.9551392,-0.0001256840769,759.9551392,0.0001835703006,759.9551392,0.002171870088,759.9551392,0.003021646757,759.9551392,0.0004533963511,
758.967041,0.0001147158764,758.967041,0.004949301947,758.967041,1.731805787E-5,758.967041,7.082978846E-5,758.967041,-0.001042315154,758.967041,-0.0007027011598,758.967041,0.00166439137,758.967041,0.002447230043,758.967041,1.757692735E-5,
