monitoring_location,monitoring_sublocation,monitoring_station,depth_m,depth_bin_m,profile_no,cond_us_cm1,cond_spec_us_cm1,qa_level,data_set_name,collection_method,comments
114,LA,CB,3.000,3.0,1,11.040,12.340,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 8.31 )"
114,LA,CB,3.020,3.0,1,11.040,12.360,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 8.44 )"
114,LA,CB,3.250,3.3,1,10.810,12.360,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 7.95 )"
114,LA,CB,3.260,3.3,1,10.670,12.230,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 7.88 )"
114,LA,CB,3.500,3.5,1,10.600,12.240,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 7.42 )"
114,LA,CB,3.540,3.5,1,10.650,12.300,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.99 )"
114,LA,CB,3.540,3.5,1,10.690,12.360,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 7.24 )"
114,LA,CB,3.670,3.8,1,10.620,12.360,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.46 )"
114,LA,CB,3.700,3.8,1,10.650,12.410,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.76 )"
114,LA,CB,3.750,3.8,1,10.560,12.290,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 7.13 )"
114,LA,CB,4.010,4.0,1,10.920,12.800,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.64 )"
114,LA,CB,4.010,4.0,1,10.850,12.710,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.37 )"
114,LA,CB,4.040,4.0,1,10.770,12.620,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.4 )"
114,LA,CB,4.190,4.3,1,10.850,12.740,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.19 )"
114,LA,CB,4.240,4.3,1,10.780,12.630,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 6.21 )"
114,LA,CB,4.480,4.5,1,17.760,20.850,preliminary,RBR PROBE,RBR-18033-138,"Values from Optode 138 have been corrected against optode 249 newly calibrated by Aanderaa, (Corrected Oxygen= 0.47 )"
114,LA,CB,0.000,0.0,1,10.280,12.100,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,0.510,0.5,1,10.230,12.030,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,1.060,1.0,1,10.210,12.020,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,1.070,1.0,1,10.210,12.010,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,2.020,2.0,1,10.210,12.020,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,3.020,3.0,1,10.200,12.020,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,4.010,4.0,1,10.190,12.010,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,0.020,0.0,1,10.040,12.220,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,0.530,0.5,1,10.030,12.190,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,0.980,1.0,1,10.010,12.170,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,1.980,2.0,1,10.010,12.160,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,2.990,3.0,1,10.000,12.150,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,3.960,4.0,1,10.000,12.150,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,0.040,0.0,1,7.930,12.350,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,0.560,0.5,1,7.870,12.250,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,1.010,1.0,1,7.860,12.250,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,2.010,2.0,1,7.840,12.240,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,3.000,3.0,1,7.820,12.230,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,3.750,3.8,1,7.960,12.420,preliminary,RBR PROBE,RBR-18033-138,"0, (Corrected Oxygen= 0 )"
114,LA,CB,0.000,0.0,1,8.920,16.190,preliminary,RBR PROBE,RBR-18033-249,""
114,LA,CB,0.510,0.5,1,10.500,17.620,preliminary,RBR PROBE,RBR-18033-249,""
114,LA,CB,1.020,1.0,1,10.540,17.590,preliminary,RBR PROBE,RBR-18033-249,""
114,LA,CB,2.010,2.0,1,10.870,18.000,preliminary,RBR PROBE,RBR-18033-249,""
114,LA,CB,3.020,3.0,1,12.130,19.980,preliminary,RBR PROBE,RBR-18033-249,""
114,LA,CB,3.760,3.8,1,25.120,41.270,preliminary,RBR PROBE,RBR-18033-249,""
114,LA,CB,0.030,0.0,1,10.380,12.150,preliminary,RBR PROBE,RBR-18018-249,""
114,LA,CB,0.500,0.5,1,10.330,12.090,preliminary,RBR PROBE,RBR-18018-249,""
114,LA,CB,0.950,1.0,1,10.310,12.110,preliminary,RBR PROBE,RBR-18018-249,""
114,LA,CB,1.220,1.3,1,10.110,12.050,preliminary,RBR PROBE,RBR-18018-249,""
114,LA,CB,1.460,1.5,1,10.090,12.110,preliminary,RBR PROBE,RBR-18018-249,""
