Wavelength (nm),BLANK,ELA_FISH927,ELA_FISH1013,ELA_FISH1012,ELA_FISH108,ELA_FISH118,ELA_FISH112,ELA_FISH117,ELA_FISH906,ELA_FISH916,ELA_CTL3-L224,ELA_CTL-L224,ELA_FISH911,ELA_FISH926,ELA_FISH929,ELA_FISH921,ELA_FISH928,ELA_FISH901,ELA_FISH907,ELA_FISH908,ELA_FISH912,ELA_FISH914,ELA_FISH919,ELA_FISH939,ELA_FISH113,ELA_FISH115,ELA_FISH120,ELA_FISH122,ELA_FISH1001,ELA_FISH1002,ELA_FISH1005,ELA_FISH1007,ELA_FISH1008
779.0478516,0.000171036,0.000428883,-4.81E-06,-2.85E-05,-0.000134897,9.19E-05,0.00704472,3.49E-05,0.000122069,0.000788166,-6.70E-05,-0.00059378,7.37E-05,0.000219335,0.000239278,-0.000163879,-0.000288067,-0.000340629,0.000288724,0.000497477,-0.000496623,-0.000501329,-0.000185459,-1.04E-05,-0.000395409,-6.96E-05,0.000255466,-0.000515653,5.33E-05,0.000466198,0.00017114,0.000114172,0.000753028
778.0678711,1.60E-05,0.000474646,-9.73E-05,-0.000152028,-0.000244864,0.000308878,0.006741138,-0.00027446,0.000160704,0.000296133,-0.000492434,-0.000642894,-0.000344613,0.000105912,0.000177277,-0.000462595,-0.000623197,-0.000390547,0.000504267,0.000193489,-0.000781002,-0.000837432,-0.00041253,-3.02E-05,-0.000386461,7.99E-05,-0.0002608,-0.000984104,-0.000175782,0.00041813,-0.000155236,-4.52E-05,-0.000196896
776.9473877,-0.000141366,-0.000118956,-0.000237413,-8.27E-05,-0.000498278,-0.000372133,0.006543686,-0.00056736,-0.000436218,0.000371001,-0.000568136,-0.001076453,-0.000373064,-5.01E-05,-3.73E-06,-0.000591919,-0.000644393,-0.000328007,0.000752043,0.000270075,-0.000939472,-0.001033742,-0.000842392,-0.000478782,-0.000756764,-0.000421685,-0.000104411,-0.000734075,-0.000391013,0.000383618,-0.000128427,-0.000315125,-0.000116834
775.9665527,-0.000149388,0.000394086,-9.42E-06,-8.59E-05,-0.00032899,0.000496544,0.006962327,-9.41E-05,-0.000172936,0.000845326,-0.000347561,-0.000610841,-1.45E-05,0.000257435,0.000183674,-0.000527908,-0.000207452,-0.000416978,0.001061119,0.000317711,-0.000602518,-0.000551435,-0.000484987,3.02E-05,-0.000710041,-0.000143385,-3.30E-05,-0.000379116,-0.000222355,0.000408854,0.000177692,-1.59E-05,0.000519713
774.9854126,-0.000207452,0.000218274,-0.000226029,0.000299371,-0.000167709,-0.000132619,0.007163418,-0.0001911,-0.000127237,0.000632855,-0.000436787,-0.000747358,-0.000379064,3.68E-05,0.000251322,-0.00035708,-0.000290499,-0.000185666,0.001405239,0.00019626,-0.000386875,-0.000603914,-0.000462077,-0.000138054,-0.00027089,-0.000319678,-2.69E-06,-0.000222562,-3.39E-05,0.000220734,0.000123442,-0.000190841,0.000482835
774.0038452,0.000576578,0.000817004,0.000125306,0.000586247,0.000383955,0.000778441,0.007269407,0.000322374,0.000491697,0.001318872,0.000195535,0.000302479,0.000105239,0.000372426,0.000602577,0.000138124,0.000207526,0.000202527,0.001355094,0.000604366,0.00010032,1.98E-05,7.14E-06,0.000214052,0.000152987,0.000493123,0.00087007,0.00020043,0.000528421,0.000978789,0.000389033,0.000309758,0.000484312
773.0219727,0.000441088,0.001016799,0.000195198,0.000346596,0.000244018,0.000675009,0.00735665,9.87E-05,0.000346855,0.001155688,-8.07E-05,-0.000337525,0.000188646,0.000542028,0.000694299,-9.12E-05,4.53E-05,0.000192505,0.001230081,0.000593556,0.000108812,-0.000207245,-0.00021863,0.000506262,-0.000336905,0.000201129,0.000212187,9.55E-05,0.000302324,0.000754688,0.000630444,0.000518883,0.000818094
772.0396729,0.000216849,0.000143354,-0.000185666,0.000347606,-4.09E-05,0.000202812,0.007199788,0.000211229,-6.06E-06,0.000778856,-0.00047299,-0.000314194,-0.000336336,0.000367322,1.96E-05,-0.000259248,-0.000511051,-0.000111865,0.000645532,0.000251736,3.43E-05,-0.000367167,0.000319576,7.91E-05,-0.00032035,-0.000125063,6.77E-05,-0.000304623,-0.00025899,0.00031595,0.00063944,0.000168369,0.000236714
771.0570679,0.000139833,8.68E-05,-3.50E-05,0.000282275,9.16E-05,0.000173289,0.00738677,-0.000310883,-0.000125995,0.000772943,-0.000373995,-0.000447338,-0.000212627,0.000229643,0.000612505,-0.000243674,-0.000578321,1.72E-05,0.000737755,0.000317271,-8.53E-05,-0.000598227,-0.000577443,0.000274323,-0.000517256,0.000641436,0.000389655,-0.00015565,0.000152443,0.000282767,0.000268391,0.000405641,0.00052741
769.9335938,0.00031968,0.000474335,0.000128957,0.000596408,-0.000137226,0.000426292,0.007512383,0.000275462,4.75E-05,0.000949473,-0.000228513,-0.000250918,1.56E-05,0.000771413,0.000521346,-0.000376581,-0.000128013,-1.09E-05,0.000599285,0.000363358,-0.000258576,-0.000106585,-0.000501432,0.000402532,-0.000235964,-0.000253712,0.00057142,0.000124659,8.28E-06,0.000906385,0.000237387,0.000142707,0.000757281
