Wavelength (nm),BLANK,ELA_FISH109,ELA_FISH930,ELA_FISH903,ELA_FISH1010,ELA_FISH105,ELA_FISH913,ELA_FISH909,ELA_CTL2-L222-224,ELA_FISH948,ELA_FISH944,ELA_CTL1-L239,ELA_CTL2-L239
720.9848022,-0.003940243,-0.003762283,-0.00374591,-0.002517503,-0.003282845,-0.00264313,-0.002978299,-0.00379744,-0.003520781,-0.003042824,-0.003669169,-0.003737646,-0.003110732
719.9830322,-0.004026682,-0.003706181,-0.003575573,-0.002659081,-0.003171434,-0.002633558,-0.002891446,-0.003629022,-0.003456738,-0.002872982,-0.003648839,-0.003543428,-0.003094592
718.980957,-0.003975334,-0.003688728,-0.003411435,-0.002520231,-0.003156632,-0.002535158,-0.002791406,-0.003817916,-0.00352412,-0.00296128,-0.00361172,-0.003421657,-0.003054597
717.9785156,-0.003936857,-0.003774652,-0.003677126,-0.002619767,-0.00300555,-0.002521569,-0.002937883,-0.003627893,-0.003445952,-0.002891394,-0.003487554,-0.003551028,-0.003047246
716.975769,-0.003934958,-0.003690576,-0.003665113,-0.002597072,-0.002918496,-0.002588427,-0.002960303,-0.003558576,-0.003444411,-0.002817279,-0.003626044,-0.003499007,-0.002968119
715.9726563,-0.003813913,-0.003467575,-0.00347605,-0.002371502,-0.002870925,-0.002526819,-0.00276553,-0.003477231,-0.003330628,-0.002834202,-0.003511743,-0.003390117,-0.002959686
714.9691772,-0.003865127,-0.003571259,-0.00355149,-0.002531864,-0.002795212,-0.002618584,-0.002831373,-0.003363045,-0.003545636,-0.002871851,-0.003556368,-0.003501472,-0.002992748
713.9653931,-0.00402976,-0.003644578,-0.003460642,-0.002601807,-0.002960406,-0.002541334,-0.00279943,-0.003582094,-0.003482264,-0.002909754,-0.003600116,-0.003254635,-0.003063131
712.9613037,-0.004089103,-0.003674251,-0.003679641,-0.002552503,-0.002964725,-0.00267848,-0.002887177,-0.003446312,-0.003345218,-0.002973157,-0.003546868,-0.002104702,-0.003142395
711.9567871,-0.003733027,-0.003511178,-0.003404501,-0.002515547,-0.00262409,-0.002368927,-0.002631397,-0.003155553,-0.00302663,-0.002585647,-0.003283256,-0.000583647,-0.002835951
