Wavelength (nm),BLANK,ELA_FISH905,ELA_FISH923,ELA_FISH110,ELA_FISH104,ELA_FISH937,ELA_FISH121,ELA_PREFILTER1,ELA_FISH915
757.9785767,0.00038836,0.000549026,-6.50E-05,4.11E-05,-0.000197672,0.000187895,0.000192608,6.50E-05,6.14E-05
756.9898071,0.000405641,0.000561286,-4.35E-05,-0.00027715,0.000105136,0.000484001,-0.000424064,-9.03E-05,-0.000180491
756.0006714,0.000576112,0.000323799,-0.000158134,-0.000488918,-9.73E-05,7.82E-05,-0.000390082,-0.000445321,-0.000226391
755.0111694,0.000569528,0.000384551,-0.000306227,-6.48E-05,0.000130071,0.000256088,2.60E-05,3.47E-06,-8.87E-05
754.0213013,0.000646569,0.000431164,0.000397298,0.000193593,0.000280254,0.000348772,0.000296444,-0.000191307,-5.16E-05
753.0310669,0.000439585,3.13E-05,-0.000470507,-0.000528167,-0.000497812,-0.000199587,-0.000504018,-0.000762914,-0.000345647
752.0404663,0.000331467,7.13E-05,-5.53E-05,-0.000312124,-0.000353045,0.000189656,-0.000284704,-0.000290499,-0.000337991
751.0495605,0.000483146,0.000480165,-0.000234981,-0.000159842,-8.86E-05,0.000538918,-0.000223028,-0.000417547,-3.24E-05
750.0582275,0.000483767,0.000453215,-9.86E-05,-0.000308244,0.000133489,9.57E-05,-6.21E-06,-0.000332094,-7.12E-05
749.0665894,0.000227856,0.000167074,-0.000398823,-0.000580545,-0.000297069,-5.24E-05,-0.000474851,-0.000843994,-0.00051043
747.9328613,0.000298982,0.000314344,-0.000246106,-0.000424633,-1.10E-05,0.000180592,0.000174092,-0.000318384,-1.72E-05
746.9404907,-1.80E-05,-0.000140124,-0.000350148,-0.000711695,-0.000444287,-5.90E-05,-0.000741982,-0.000785756,-0.000439321
745.9477539,0.000347192,0.000285305,-0.000135984,-0.00046456,-0.000474024,0.000131495,-8.61E-05,-0.000206728,-0.000317246
744.9545898,0.000151925,3.41E-05,-0.000198552,-0.000588765,-0.000198293,-6.01E-05,-0.000116316,-0.000385219,-0.000219975
743.9611816,0.000335353,-0.00015622,-0.000188512,-0.000661917,-0.000345906,5.18E-05,-0.00028191,-0.000612134,-0.000528994
742.9673462,0.000324783,-7.77E-05,-0.000516894,-0.000802758,-0.000254747,0.000103401,-0.00030276,-0.000627954,-0.000488504
741.9732056,0.000403283,0.000263858,-0.000268665,-0.00042396,-0.000102238,0.000155654,-0.000279789,-0.000242898,-0.000333025
740.9786987,0.00017909,-6.36E-05,-0.000807254,-0.000823997,-0.000477334,-0.00012144,-0.000540008,-0.000642739,-0.000801673
739.9838257,0.000508491,8.71E-05,-0.000113107,-0.000331162,-4.56E-05,0.000252591,-0.000182665,-0.000373012,-0.000340578
738.9886475,0.000119558,-0.00017071,-0.000285532,-0.000326093,-0.000139917,0.000162128,-0.000322109,-0.000407151,-0.000315073
737.993042,0.000347477,4.50E-06,-0.000145248,-0.000639792,-0.000236016,0.000108605,-9.91E-05,-0.000447855,-0.000116419
736.9971924,0.00030595,-0.000167243,-0.000280565,-0.000554796,-0.000312073,-7.09E-06,-0.000154926,-0.000656903,-0.000438339
736.0009155,0.000406004,1.44E-05,4.22E-05,-0.000466939,-7.04E-05,0.000234746,0.00012919,-0.000482815,-0.000216767
735.0043335,0.000453785,0.000186238,-0.00018106,-0.000246106,-8.07E-05,0.000258859,-0.000197155,-0.000236326,-6.65E-05
734.0073853,0.000505847,0.00034657,0.000101278,-0.000195343,0.000129553,0.000173186,0.000105446,-0.000279737,-1.85E-05
733.0100708,-0.000109225,-5.08E-05,-0.000355528,-0.000685437,-0.000187219,-0.0001129,-0.000423288,-0.000624593,-0.000482298
