Wavelength (nm),BLANK,ELA_FISH946,ELA_FISH1004,ELA_FISH949,ELA_FISH1015,ELA_FISH932,ELA_FISH922,ELA_FISH1011,ELA_FISH947
736.0009155,3.49E-06,0.005133274,-1.54E-05,-7.77E-06,-0.000797229,-0.000309175,0.001685492,0.002292158,4.28E-05
735.0043335,-8.45E-05,0.004877044,-0.000154408,-0.000124701,-0.000722032,-0.000565396,0.001451442,0.002081085,0.000122354
734.0073853,-8.93E-05,0.00470527,-0.000233118,-0.000443304,-0.001029971,-0.000733868,0.001438949,0.002005921,-0.000241863
733.0100708,0.000162957,0.005167642,0.000210193,5.95E-05,-0.000757591,-0.000337267,0.001877524,0.002296373,0.00012818
732.0124512,-0.0002608,0.00477551,4.58E-06,-0.000228254,-0.000829267,-0.000407668,0.001687051,0.002115264,-8.83E-05
731.0144653,-0.000144264,0.004974988,7.87E-05,-0.000122837,-0.000541559,-0.000257179,0.001744564,0.002290882,7.61E-06
730.0161133,-0.000272028,0.005001199,-9.90E-05,-0.000305451,-0.000750975,-0.000614512,0.001692145,0.002285027,6.13E-05
729.0174561,4.71E-06,0.005063788,0.000166634,0.000298905,-0.000421012,-1.47E-05,0.001991436,0.002276154,0.000141852
728.0184326,8.03E-05,0.00521946,0.000233502,0.000226484,-0.00046518,-5.21E-05,0.001989044,0.002257991,0.000437123
727.019043,0.00020377,0.005283155,0.000287792,0.000274556,-0.000589437,-7.50E-05,0.001746279,0.002346341,0.000370146
726.0193481,0.000203952,0.005483757,0.000353539,8.86E-05,-0.000470197,-6.09E-05,0.002072527,0.002449443,0.00029792
725.0192871,4.41E-05,0.0052678,0.000206257,-0.000119111,-0.00064584,-0.0003308,0.001713688,0.002271027,0.000288673
724.0189209,-1.60E-05,0.005050353,5.64E-05,-7.39E-05,-0.000913331,-0.000285532,0.001721329,0.002049405,0.000233062
723.0181885,-3.25E-05,0.005287635,0.000459175,-7.46E-06,-0.000509706,-0.000226909,0.001885349,0.002213003,0.000315043
722.0170898,0.000262589,0.005394295,0.000436035,0.000136907,-0.000429598,2.29E-05,0.001956799,0.002280603,0.000457568
721.015686,0.000365741,0.005534171,0.000550685,0.000409994,-0.000253505,0.000176759,0.002170257,0.0024534,0.000726294
720.013916,-0.00014442,0.005293007,0.000339757,3.43E-05,-0.000669361,-0.000266854,0.001851526,0.002056948,0.000220993
719.0118408,0.000144183,0.005486274,0.000574842,0.000143898,-0.000217025,-7.16E-05,0.002272875,0.002414405,0.000639362
718.0093994,7.59E-05,0.005351785,0.000354005,0.000258004,-0.000314918,-5.64E-06,0.001828312,0.002188104,0.000381131
717.0066528,-2.11E-05,0.005284019,0.000403776,0.000150398,-0.000465698,-0.000215111,0.002052006,0.002126501,0.000392246
716.00354,0.000160082,0.005444253,0.000543764,0.000271914,-0.000340526,7.22E-05,0.002312664,0.002318207,0.000254767
