Wavelength (nm),BLANK,ELA_FISH931,ELA_FISH1009,ELA_FISH902,ELA_FISH1006,ELA_FISH116,ELA_FISH933,ELA_CTL1-L222-224,ELA_FISH941,ELA_FISH920,ELA_FISH945,ELA_FISH938,ELA_FISH935,ELA_FISH1003,ELA_FISH934,ELA_FISH943,ELA_FISH1014,ELA_FISH936,ELA_FISH111,ELA_FISH904,ELA_FISH918,ELA_FISH114,ELA_FISH119,ELA_FISH917,ELA_FISH910,ELA_FISH940,ELA_FISH942
789.9867554,-0.001796596,0.00061305,-0.001057293,-0.000440201,0.000382193,0.000206645,0.000620853,-0.000607688,0.000544672,-0.00016538,6.08E-05,0.000386183,-0.000748081,0.000977155,-0.000685127,0.006108041,0.000379551,-0.000239327,-0.000874789,0.000733762,0.003282314,0.000400744,0.001014257,0.000359575,-0.00107573,-0.000410461,0.001050583
789.0098877,-0.00109804,0.001015554,-0.000589799,-0.000357855,0.0007411,0.000356156,0.00085526,-0.000455251,0.000615642,3.58E-05,0.000375276,0.000579274,-0.000297224,0.001314276,-0.000145144,0.006617141,0.001463649,-6.24E-05,-0.000147421,0.000857361,0.003753486,0.000758188,0.001291376,0.000779997,-0.000377978,-0.000375288,0.00133079
788.0325928,-0.00054218,0.000961122,-0.000725857,-0.000227271,0.000590524,0.000355897,0.000738377,-0.000129669,0.000762,0.000363254,0.00049035,0.000357425,-0.000119111,0.001618815,5.43E-05,0.006517644,0.001386541,9.23E-05,-0.000146179,0.000860343,0.003912973,0.000869422,0.001136897,0.00060885,-0.000240466,-0.00041434,0.001290311
787.0549927,-0.001043141,0.000812621,-0.000927694,-0.000315435,0.00033455,0.00027984,0.000717997,-0.000577753,0.000246245,-0.000102548,-8.02E-06,0.000150346,-0.000578011,0.001111567,-0.000294327,0.006586207,0.00061432,-0.000462491,-0.000364942,0.000995186,0.003664406,0.000752535,0.000988804,0.000398335,-0.000627798,-0.000470404,0.00117666
785.9371948,-0.001011067,0.000972018,-0.000597606,-0.000174333,0.000896553,0.000108502,0.001031797,6.30E-05,0.000822554,5.16E-05,0.000445545,0.000554236,-0.000502208,0.001381581,-0.00018401,0.007006205,0.000878993,0.000208199,-0.000171435,0.000808653,0.003622952,0.001038958,0.001445546,0.001292492,1.75E-05,-8.70E-05,0.001528821
784.9587402,-0.001013805,0.001372726,-0.000239172,-9.97E-05,0.00087326,0.000647684,0.000967114,-0.000293758,0.000957567,0.000687324,0.000785443,0.000737885,0.000270541,0.001242153,0.000276576,0.006912509,0.00121069,1.12E-05,0.000151226,0.001122285,0.00407751,0.000942261,0.001750775,0.000789333,0.000514892,0.000278053,0.00143804
783.9799194,-0.000728234,0.000734955,-0.000665277,-8.01E-05,0.00090252,0.000322711,0.000849009,0.000115648,0.00083573,0.000582203,0.000789333,0.000633814,4.04E-05,0.0016032,1.57E-05,0.00726359,0.001483571,0.000477444,7.96E-05,0.001126645,0.004176397,0.001436689,0.001451338,0.000746779,-1.03E-05,3.62E-05,0.001604369
783.0007324,-0.001195992,0.000928408,-0.000693914,-0.000580441,0.00062837,-1.85E-05,0.001027282,-0.00039034,0.000806475,0.000400045,0.00044469,0.000610483,-0.000206055,0.001166927,-0.000415116,0.006971166,0.001284054,-9.63E-05,-0.000119784,0.000628422,0.003847677,0.000561571,0.001387476,0.000347451,-0.000349113,-2.03E-05,0.000998897
782.0212402,-0.001295729,0.000903479,-0.000691485,-0.000416202,0.000569735,0.000418389,0.000906021,-0.000342233,0.000624145,0.000667516,0.000356156,0.000219128,0.000193877,0.001307941,-0.00045313,0.006816494,0.001044434,0.000196364,-0.000389616,0.000807227,0.004003751,0.000900289,0.001357249,0.000260258,-0.000216456,-6.07E-05,0.001310745
781.0412598,-0.000931723,0.00103613,-0.000525685,-0.000460164,0.000295485,4.11E-05,0.000913933,-0.000356614,0.000897254,8.06E-05,0.000577175,0.000389059,-0.000341974,0.00129714,-0.000127289,0.007053534,0.001104949,-0.000254902,-0.000588145,0.001419938,0.004297712,0.000917565,0.001175544,0.000935957,-0.000354907,-0.000242432,0.001332477
